Dataset,Algorithm,Environment Type,Climate,Environment Size,n_agents,Budget (m),Likelihood Score,Time-Discounted Score,Victims Found (%),Area Covered (km²),Total Path Length (km)
1,RandomWalk,flat,temperate,medium,1,100000,0.021614255290058813,0.010075975867530828,4.0,1.6111018690415053,100.00000000000018
1,Greedy,flat,temperate,medium,1,100000,0.21294349739681737,0.012917470839393118,56.99999999999999,5.079801652916467,100.00000000000021
1,Spiral,flat,temperate,medium,1,100000,0.20317420338854836,0.00815435967171108,56.00000000000001,6.627888122020389,99.99999999999994
1,Concentric,flat,temperate,medium,1,100000,0.20440390931545602,0.008375738218246172,56.99999999999999,6.582219955700275,100.00000000000017
1,Pizza,flat,temperate,medium,1,100000,0.20224298189498383,0.008084932740792522,56.00000000000001,6.579275799540185,100.00000000000021
2,RandomWalk,flat,temperate,medium,1,100000,0.033707730938445306,0.007966433004921138,11.0,1.3852840019953194,99.9999999999998
2,Greedy,flat,temperate,medium,1,100000,0.10925042667590704,0.009936078101652146,32.0,3.712746595483525,100.00000000000024
2,Spiral,flat,temperate,medium,1,100000,0.1618554070137937,0.005970915344489503,55.00000000000001,6.627888122020256,99.9999999999999
2,Concentric,flat,temperate,medium,1,100000,0.15957196454543868,0.005886765001102165,57.99999999999999,6.582219955700203,100.00000000000021
2,Pizza,flat,temperate,medium,1,100000,0.1606384238396022,0.005772496593761873,55.00000000000001,6.579275799540184,99.9999999999998
3,RandomWalk,flat,temperate,medium,1,100000,0.03312502413011121,0.008230387918433687,11.0,1.2485312805999,99.99999999999967
3,Greedy,flat,temperate,medium,1,100000,0.1283525392650582,0.0117444266097243,53.0,3.9502338659981566,100.00000000000013
3,Spiral,flat,temperate,medium,1,100000,0.18305470256094644,0.005784222857100584,67.0,6.627888122020379,99.99999999999994
3,Concentric,flat,temperate,medium,1,100000,0.18156972827596982,0.005907095175005388,65.0,6.582219955700264,100.00000000000017
3,Pizza,flat,temperate,medium,1,100000,0.18215178487211908,0.005794202802917052,67.0,6.5792757995402225,100.0000000000002
4,RandomWalk,flat,temperate,medium,1,100000,0.03749169553910016,0.004262107145028376,22.0,1.2970148069317085,100.00000000000001
4,Greedy,flat,temperate,medium,1,100000,0.1613761699194998,0.009016630085040254,56.99999999999999,5.059718237872899,99.99999999999977
4,Spiral,flat,temperate,medium,1,100000,0.182543089078817,0.005701630821051758,76.0,6.627888122020274,99.99999999999987
4,Concentric,flat,temperate,medium,1,100000,0.17994214194754418,0.005693001856969956,70.0,6.582219955700207,99.99999999999982
4,Pizza,flat,temperate,medium,1,100000,0.18155696563212215,0.005569215527974074,75.0,6.57927579954017,99.99999999999983
5,RandomWalk,flat,temperate,medium,1,100000,0.04875466254773606,0.0038916582633663883,17.0,1.542289337036661,100.00000000000001
5,Greedy,flat,temperate,medium,1,100000,0.126430031785517,0.00920572409410791,49.0,3.98114365161506,99.99999999999982
5,Spiral,flat,temperate,medium,1,100000,0.18327541945779743,0.0057551150344276715,63.0,6.627888122020389,99.99999999999994
5,Concentric,flat,temperate,medium,1,100000,0.18178948662613598,0.005708998504390864,64.0,6.582219955700275,100.00000000000017
5,Pizza,flat,temperate,medium,1,100000,0.18128813131358323,0.005641100596240278,61.0,6.579275799540185,100.00000000000021
6,RandomWalk,flat,temperate,medium,1,100000,0.0303661777220643,0.0030060809341690494,15.0,1.3705371707993075,100.00000000000024
6,Greedy,flat,temperate,medium,1,100000,0.17277604474380553,0.008031357240254743,66.0,6.4449674129246715,99.99999999999976
6,Spiral,flat,temperate,medium,1,100000,0.1731227374492855,0.004979926236588324,70.0,6.627888122020274,99.99999999999987
6,Concentric,flat,temperate,medium,1,100000,0.17142052743937536,0.005110979111680872,69.0,6.582219955700207,99.99999999999982
6,Pizza,flat,temperate,medium,1,100000,0.1717407238678018,0.0049358356761330146,70.0,6.57927579954017,99.99999999999983
7,RandomWalk,flat,temperate,medium,1,100000,0.04128460315050307,0.005835188256570869,19.0,1.3714473351957366,99.99999999999967
7,Greedy,flat,temperate,medium,1,100000,0.14539480527576912,0.007759183531948322,59.0,5.179731432395249,100.00000000000001
7,Spiral,flat,temperate,medium,1,100000,0.1678747047166569,0.004413933401573789,69.0,6.627888122020253,99.99999999999989
7,Concentric,flat,temperate,medium,1,100000,0.16599823063936825,0.004473940229332292,68.0,6.582219955700196,99.99999999999982
7,Pizza,flat,temperate,medium,1,100000,0.1665006600754957,0.004366120723472057,67.0,6.579275799540214,99.99999999999983
8,RandomWalk,flat,temperate,medium,1,100000,0.024478089747124284,0.003639498538263928,26.0,1.4637259909621438,99.99999999999996
8,Greedy,flat,temperate,medium,1,100000,0.09491972075819027,0.009587830552388932,30.0,3.565900624687949,99.99999999999994
8,Spiral,flat,temperate,medium,1,100000,0.1511832728640142,0.005344880713193291,38.0,6.627888122020274,99.99999999999987
8,Concentric,flat,temperate,medium,1,100000,0.14903330571021495,0.005194569585698197,38.0,6.582219955700207,99.99999999999982
8,Pizza,flat,temperate,medium,1,100000,0.14959324264669016,0.004986216162051754,38.0,6.57927579954017,99.99999999999983
9,RandomWalk,flat,temperate,medium,1,100000,0.030892990600594746,0.0042449402051695576,17.0,1.419645563714656,99.99999999999983
9,Greedy,flat,temperate,medium,1,100000,0.15690534489238736,0.008311511079687901,52.0,5.657528303211514,99.99999999999994
