metric,value
num_drones,10
num_dogs,10
budget_per_agent_m,500000
max_steps,50000
seed,42
ticks,17357
elapsed_seconds,376.4
explored_cells,29530
total_cells,45582
coverage_ratio,0.647843
probability_coverage_ratio,1.000000
overlap_cells,221920
overlap_ratio,0.882561
drone_cells_total,186414
dog_cells_total,65036
cells_drone_0,18890
cells_drone_1,19239
cells_drone_2,18913
cells_drone_3,16557
cells_drone_4,18875
cells_drone_5,18572
cells_drone_6,19074
cells_drone_7,18839
cells_drone_8,18847
cells_drone_9,18608
cells_dog_0,6908
cells_dog_1,6653
cells_dog_2,5685
cells_dog_3,4856
cells_dog_4,5500
cells_dog_5,5714
cells_dog_6,7199
cells_dog_7,6067
cells_dog_8,8570
cells_dog_9,7884
path_m_drone_0,499974.4
path_m_drone_1,499975.3
path_m_drone_2,499996.9
path_m_drone_3,499967.4
path_m_drone_4,499973.9
path_m_drone_5,499996.4
path_m_drone_6,499985.0
path_m_drone_7,499976.5
path_m_drone_8,499962.3
path_m_drone_9,499974.8
path_m_dog_0,613971.1
path_m_dog_1,659518.8
path_m_dog_2,570352.9
path_m_dog_3,450747.8
path_m_dog_4,655232.1
path_m_dog_5,486229.4
path_m_dog_6,656039.8
path_m_dog_7,597514.1
path_m_dog_8,591633.9
path_m_dog_9,593521.2
