n_agents,num_drones,num_dogs,max_hops,Budget_m,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Victims_pct,Area_km2,Path_length_km,Likelihood,TD_Score,Time_first_victim,Efficiency_ratio,Latency,Elapsed_s,Algorithm,Seed
5,5,0,1.0,100000,0.32730025009872316,0.6086336761867538,0.3434694596021827,53.5,12.962545566987664,499.89473873765394,0.12262376397848129,0.0003237572987024628,8.0,0.6565305403978173,1490.3419136064122,3.1,Swarm_5D,42
5,5,0,,100000,,,,56.00000000000001,13.767813213607386,499.99999999999966,0.13414620163739868,0.0018972266503870367,,,,4.1,Greedy,42
5,5,0,,100000,,,,98.5,32.17171516320787,485.4420806107895,0.20090857294050632,0.00046410456260945605,,,,0.1,Spiral,42
5,5,0,,100000,,,,100.0,32.45701091812307,498.41379733158414,0.20112372399723896,0.001315990105965835,,,,0.1,Pizza,42
5,5,0,1.0,100000,0.34070466412180245,0.6731145388092106,0.3253399365741344,57.49999999999999,13.47651909355758,499.91915360222515,0.13513131439685822,0.0025598725433957905,4.0,0.6746600634258656,1478.4542760221389,2.8,Swarm_5D,123
5,5,0,,100000,,,,32.0,8.533872276292026,499.999999999999,0.07233210554640587,0.0019893033553041325,,,,4.3,Greedy,123
5,5,0,,100000,,,,99.5,32.17171516320787,485.4420806107895,0.20090857294050632,0.00046410456260945605,,,,0.1,Spiral,123
5,5,0,,100000,,,,100.0,32.45701091812307,498.41379733158414,0.20112372399723896,0.001315990105965835,,,,0.1,Pizza,123
5,5,0,1.0,100000,0.36858847790794613,0.706426432497788,0.2820699085548244,64.5,14.616898253956903,499.8677656836753,0.14176560938358307,0.0023291371815046574,4.0,0.7179300914451756,1532.602324425584,2.9,Swarm_5D,456
5,5,0,,100000,,,,55.00000000000001,12.237629714105024,500.0000000000005,0.12250537293431216,0.0019937181094063297,,,,4.4,Greedy,456
5,5,0,,100000,,,,99.0,32.17171516320787,485.4420806107895,0.20090857294050632,0.00046410456260945605,,,,0.1,Spiral,456
5,5,0,,100000,,,,100.0,32.45701091812307,498.41379733158414,0.20112372399723896,0.001315990105965835,,,,0.0,Pizza,456
