n_agents,num_drones,num_dogs,max_hops,kill_fraction,Budget_m,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Victims_pct,Area_km2,Path_length_km,Likelihood,TD_Score,Time_first_victim,Efficiency_ratio,Latency,Elapsed_s,Algorithm,Seed
5,3,2,1.0,0.0,100000,0.27074283708481417,0.5440356684898575,0.3273193066608525,51.5,12.7160026004686,526.7155788123598,0.11840707063674927,0.0003237786602160966,8.0,0.6726806933391475,1787.6846164193157,2.8,Swarm_3D2P,42
5,5,0,,0.0,100000,,,,100.0,32.45701091812307,498.41379733158414,0.20112372399723896,0.001315990105965835,,,,0.0,Pizza,42
5,5,0,,0.0,100000,,,,56.00000000000001,14.027481240001622,499.99999999999983,0.14715635281893055,0.0020464832183627836,,,,4.4,Greedy,42
5,3,2,1.0,0.0,100000,0.2925716291518582,0.6464038373614095,0.30854980038367813,61.5,13.876598086559337,516.2686409185575,0.13615703582763672,0.002561884641893681,4.0,0.6914501996163219,1677.3316358475602,2.8,Swarm_3D2P,123
5,5,0,,0.0,100000,,,,100.0,32.45701091812307,498.41379733158414,0.20112372399723896,0.001315990105965835,,,,0.1,Pizza,123
5,5,0,,0.0,100000,,,,45.0,13.466549954570674,499.999999999999,0.13070397014176285,0.002053762065985513,,,,4.4,Greedy,123
5,3,2,1.0,0.0,100000,0.31042955552630425,0.6638340185742139,0.2879786645197001,59.0,14.548449083375688,530.953214169399,0.1388196498155594,0.0023357173771444474,4.0,0.7120213354802999,1945.131641554322,3.3,Swarm_3D2P,456
5,5,0,,0.0,100000,,,,100.0,32.45701091812307,498.41379733158414,0.20112372399723896,0.001315990105965835,,,,0.1,Pizza,456
5,5,0,,0.0,100000,,,,52.5,11.836594702235779,499.99999999999955,0.11919999366067317,0.0020554192756022283,,,,4.5,Greedy,456
5,3,2,1.0,0.2,100000,0.2655872932297837,0.5430690290283738,0.3318984547461369,53.0,12.812791284660852,503.7246328037407,0.12033793330192566,0.00032562545431451294,8.0,0.6681015452538631,1876.7966412774158,2.9,Swarm_3D2P,42
5,5,0,,0.2,100000,,,,80.5,27.92850417674853,428.6358657051619,0.1647269018235138,0.0013200669949545963,,,,0.0,Pizza,42
5,5,0,,0.2,100000,,,,55.00000000000001,13.298133761596755,429.99999999999966,0.13695188037392805,0.0017273568694852394,,,,4.5,Greedy,42
5,3,2,1.0,0.2,100000,0.2814707560001755,0.6379923475545238,0.30969546970838263,60.0,13.501019281920726,501.42529304025874,0.13416090607643127,0.002561635283119987,4.0,0.6903045302916173,1791.0162341982702,3.0,Swarm_3D2P,123
5,5,0,,0.2,100000,,,,76.5,27.92850417674853,428.6358657051619,0.1647269018235138,0.0013200669949545963,,,,0.1,Pizza,123
5,5,0,,0.2,100000,,,,50.0,11.344065424106502,429.9999999999996,0.12294213469316168,0.0020307143306538392,,,,4.5,Greedy,123
5,3,2,1.0,0.2,100000,0.29160633583432055,0.6423637207280543,0.3024769101595298,55.50000000000001,13.879605409059671,511.75358387430083,0.13506001234054565,0.0023304545453618143,4.0,0.6975230898404702,2004.137913066134,3.2,Swarm_3D2P,456
5,5,0,,0.2,100000,,,,76.0,27.92850417674853,428.6358657051619,0.1647269018235138,0.0013200669949545963,,,,0.1,Pizza,456
5,5,0,,0.2,100000,,,,59.5,13.031385851104499,430.00000000000017,0.14005869391018733,0.001998094061399893,,,,4.4,Greedy,456
