Scenario,Group,Environment,Climate,Radius_km,Budget_m,Algorithm,n_agents,Seed,Victims_pct,Area_km2,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Efficiency_ratio,Likelihood,Path_km,Elapsed_s
1,flat_temperate,flat,temperate,9.9,117612.0,Swarm_3D2P,5,42,37.5,17.73,0.0431,0.3996,0.2043,0.7957,0.4039030075073242,583.8,47.9
1,flat_temperate,flat,temperate,9.9,117612.0,Greedy,5,42,44.0,21.88,0.0,0.0,0.0,0.0,0.464394,588.06,5.3
1,flat_temperate,flat,temperate,9.9,117612.0,Pizza,5,42,56.0,38.35,0.0,0.0,0.0,0.0,0.577095,588.06,0.8
1,flat_temperate,flat,temperate,9.9,117612.0,Swarm_3D2P,5,123,41.0,17.73,0.0431,0.3996,0.2043,0.7957,0.4039030075073242,583.8,46.9
1,flat_temperate,flat,temperate,9.9,117612.0,Greedy,5,123,47.5,23.93,0.0,0.0,0.0,0.0,0.50977,588.06,5.3
1,flat_temperate,flat,temperate,9.9,117612.0,Pizza,5,123,60.0,38.35,0.0,0.0,0.0,0.0,0.577095,588.06,0.8
1,flat_temperate,flat,temperate,9.9,117612.0,Swarm_3D2P,5,456,38.0,17.73,0.0431,0.3996,0.2043,0.7957,0.4039030075073242,583.8,46.7
1,flat_temperate,flat,temperate,9.9,117612.0,Greedy,5,456,45.0,23.89,0.0,0.0,0.0,0.0,0.507595,588.06,5.4
1,flat_temperate,flat,temperate,9.9,117612.0,Pizza,5,456,61.0,38.35,0.0,0.0,0.0,0.0,0.577095,588.06,1.1
5,flat_temperate,flat,temperate,9.9,117612.0,Swarm_3D2P,5,42,10.0,6.83,0.0151,0.1209,0.178,0.822,0.13210399448871613,569.76,57.9
5,flat_temperate,flat,temperate,9.9,117612.0,Greedy,5,42,37.5,24.69,0.0,0.0,0.0,0.0,0.394368,588.06,5.2
5,flat_temperate,flat,temperate,9.9,117612.0,Pizza,5,42,51.0,38.35,0.0,0.0,0.0,0.0,0.490468,588.06,0.8
5,flat_temperate,flat,temperate,9.9,117612.0,Swarm_3D2P,5,123,11.5,6.27,0.0137,0.1072,0.1759,0.8241,0.11895599961280823,570.86,55.2
5,flat_temperate,flat,temperate,9.9,117612.0,Greedy,5,123,40.0,27.36,0.0,0.0,0.0,0.0,0.423702,588.06,5.3
5,flat_temperate,flat,temperate,9.9,117612.0,Pizza,5,123,54.0,38.35,0.0,0.0,0.0,0.0,0.490468,588.06,0.8
5,flat_temperate,flat,temperate,9.9,117612.0,Swarm_3D2P,5,456,12.0,6.83,0.0151,0.1209,0.178,0.822,0.13210399448871613,569.76,56.0
5,flat_temperate,flat,temperate,9.9,117612.0,Greedy,5,456,39.5,25.16,0.0,0.0,0.0,0.0,0.410013,588.06,5.3
5,flat_temperate,flat,temperate,9.9,117612.0,Pizza,5,456,53.0,38.35,0.0,0.0,0.0,0.0,0.490468,588.06,0.8
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Swarm_3D2P,5,42,32.0,33.43,0.024,0.3041,0.3106,0.6894,0.30496901273727417,1902.76,491.4
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Greedy,5,42,35.0,57.56,0.0,0.0,0.0,0.0,0.399863,2009.34,21.3
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Pizza,5,42,56.5,132.0,0.0,0.0,0.0,0.0,0.519454,2009.34,2.6
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Swarm_3D2P,5,123,35.5,31.87,0.0233,0.3019,0.3644,0.6356,0.30140700936317444,1819.06,577.8
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Greedy,5,123,39.5,60.49,0.0,0.0,0.0,0.0,0.385016,2009.34,20.6
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Pizza,5,123,56.5,132.0,0.0,0.0,0.0,0.0,0.519454,2009.34,2.5
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Swarm_3D2P,5,456,35.5,34.85,0.0249,0.3119,0.3736,0.6264,0.3130500018596649,1845.66,611.8
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Greedy,5,456,35.5,61.58,0.0,0.0,0.0,0.0,0.385066,2009.34,21.4
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Pizza,5,456,53.5,132.0,0.0,0.0,0.0,0.0,0.519454,2009.34,2.6
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Swarm_3D2P,5,42,29.0,43.38,0.0316,0.3064,0.306,0.694,0.30681100487709045,1804.32,550.0
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Greedy,5,42,24.0,58.78,0.0,0.0,0.0,0.0,0.328947,2009.34,21.8
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Pizza,5,42,43.0,132.0,0.0,0.0,0.0,0.0,0.485759,2009.34,3.1
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Swarm_3D2P,5,123,31.0,43.39,0.0316,0.3064,0.306,0.694,0.3068229854106903,1804.21,549.6
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Greedy,5,123,31.5,60.47,0.0,0.0,0.0,0.0,0.351374,2009.34,20.0
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Pizza,5,123,47.0,132.0,0.0,0.0,0.0,0.0,0.485759,2009.34,2.7
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Swarm_3D2P,5,456,28.5,43.38,0.0316,0.3064,0.306,0.694,0.30681100487709045,1804.32,565.9
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Greedy,5,456,31.0,62.81,0.0,0.0,0.0,0.0,0.381187,2009.34,24.6
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Pizza,5,456,47.0,132.0,0.0,0.0,0.0,0.0,0.485759,2009.34,3.9
31,flat_dry,flat,dry,13.1,205932.0,Swarm_3D2P,5,42,55.0,30.48,0.0404,0.5664,0.3329,0.6671,0.5774639844894409,1144.24,168.4
31,flat_dry,flat,dry,13.1,205932.0,Greedy,5,42,37.5,18.55,0.0,0.0,0.0,0.0,0.345642,1029.66,11.8
31,flat_dry,flat,dry,13.1,205932.0,Pizza,5,42,49.0,67.41,0.0,0.0,0.0,0.0,0.521519,1029.66,1.3
31,flat_dry,flat,dry,13.1,205932.0,Swarm_3D2P,5,123,52.5,28.98,0.0389,0.5459,0.3403,0.6597,0.5566110014915466,1144.58,163.1
31,flat_dry,flat,dry,13.1,205932.0,Greedy,5,123,38.5,21.94,0.0,0.0,0.0,0.0,0.437419,1029.66,11.0
31,flat_dry,flat,dry,13.1,205932.0,Pizza,5,123,48.5,67.41,0.0,0.0,0.0,0.0,0.521519,1029.66,1.3
31,flat_dry,flat,dry,13.1,205932.0,Swarm_3D2P,5,456,48.5,28.86,0.0376,0.5469,0.3688,0.6312,0.5564200282096863,1145.35,165.0
31,flat_dry,flat,dry,13.1,205932.0,Greedy,5,456,38.5,22.45,0.0,0.0,0.0,0.0,0.433239,1029.66,10.5
31,flat_dry,flat,dry,13.1,205932.0,Pizza,5,456,48.5,67.41,0.0,0.0,0.0,0.0,0.521519,1029.66,1.4
35,flat_dry,flat,dry,13.1,205932.0,Swarm_3D2P,5,42,29.0,25.27,0.0347,0.2964,0.1105,0.8895,0.3149830102920532,1043.54,189.2
35,flat_dry,flat,dry,13.1,205932.0,Greedy,5,42,50.5,32.5,0.0,0.0,0.0,0.0,0.523317,1029.66,10.5
35,flat_dry,flat,dry,13.1,205932.0,Pizza,5,42,53.0,67.41,0.0,0.0,0.0,0.0,0.526934,1029.66,1.2
35,flat_dry,flat,dry,13.1,205932.0,Swarm_3D2P,5,123,31.5,26.15,0.0366,0.289,0.1697,0.8303,0.3020919859409332,1037.73,159.0
35,flat_dry,flat,dry,13.1,205932.0,Greedy,5,123,46.5,26.26,0.0,0.0,0.0,0.0,0.463618,1029.66,9.9
35,flat_dry,flat,dry,13.1,205932.0,Pizza,5,123,52.5,67.41,0.0,0.0,0.0,0.0,0.526934,1029.66,1.3
35,flat_dry,flat,dry,13.1,205932.0,Swarm_3D2P,5,456,23.5,22.15,0.0305,0.2906,0.1511,0.8489,0.30078598856925964,1041.93,176.2
35,flat_dry,flat,dry,13.1,205932.0,Greedy,5,456,35.5,24.2,0.0,0.0,0.0,0.0,0.420857,1029.66,11.3
35,flat_dry,flat,dry,13.1,205932.0,Pizza,5,456,50.0,67.41,0.0,0.0,0.0,0.0,0.526934,1029.66,1.2
46,mountain_dry,mountainous,dry,19.3,446988.0,Swarm_3D2P,5,42,29.5,45.58,0.0291,0.3192,0.3905,0.6095,0.3229660093784332,2224.31,659.5
46,mountain_dry,mountainous,dry,19.3,446988.0,Greedy,5,42,25.0,51.2,0.0,0.0,0.0,0.0,0.334842,2234.94,23.7
46,mountain_dry,mountainous,dry,19.3,446988.0,Pizza,5,42,39.5,146.89,0.0,0.0,0.0,0.0,0.487628,2234.94,2.8
46,mountain_dry,mountainous,dry,19.3,446988.0,Swarm_3D2P,5,123,28.0,49.39,0.0325,0.3407,0.3089,0.6911,0.342399001121521,2232.15,817.2
46,mountain_dry,mountainous,dry,19.3,446988.0,Greedy,5,123,27.0,52.48,0.0,0.0,0.0,0.0,0.339732,2234.94,25.1
