Scenario,Group,Environment,Climate,Radius_km,Budget_m,Algorithm,n_agents,Seed,Victims_pct,Area_km2,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Efficiency_ratio,Likelihood,Path_km,Elapsed_s
1,flat_temperate,flat,temperate,9.9,117612.0,Swarm_3D2P,5,42,37.5,17.73,0.0431,0.3996,0.2043,0.7957,0.4039030075073242,583.8,54.0
1,flat_temperate,flat,temperate,9.9,117612.0,Greedy,5,42,19.5,6.84,0.0,0.0,0.0,0.0,0.247612,117.61,1.8
1,flat_temperate,flat,temperate,9.9,117612.0,Pizza,5,42,23.0,7.53,0.0,0.0,0.0,0.0,0.223006,117.61,0.7
1,flat_temperate,flat,temperate,9.9,117612.0,Swarm_3D2P,5,123,41.0,17.73,0.0431,0.3996,0.2043,0.7957,0.4039030075073242,583.8,48.0
1,flat_temperate,flat,temperate,9.9,117612.0,Greedy,5,123,26.0,6.42,0.0,0.0,0.0,0.0,0.24123,117.61,1.1
1,flat_temperate,flat,temperate,9.9,117612.0,Pizza,5,123,23.5,7.53,0.0,0.0,0.0,0.0,0.223006,117.61,0.7
1,flat_temperate,flat,temperate,9.9,117612.0,Swarm_3D2P,5,456,38.0,17.73,0.0431,0.3996,0.2043,0.7957,0.4039030075073242,583.8,48.1
1,flat_temperate,flat,temperate,9.9,117612.0,Greedy,5,456,17.0,5.16,0.0,0.0,0.0,0.0,0.209203,117.61,1.1
1,flat_temperate,flat,temperate,9.9,117612.0,Pizza,5,456,19.0,7.53,0.0,0.0,0.0,0.0,0.223006,117.61,1.1
5,flat_temperate,flat,temperate,9.9,117612.0,Swarm_3D2P,5,42,10.0,6.83,0.0151,0.1209,0.178,0.822,0.13210399448871613,569.76,58.2
5,flat_temperate,flat,temperate,9.9,117612.0,Greedy,5,42,13.5,4.84,0.0,0.0,0.0,0.0,0.146825,117.61,1.0
5,flat_temperate,flat,temperate,9.9,117612.0,Pizza,5,42,19.0,7.53,0.0,0.0,0.0,0.0,0.1996,117.61,0.6
5,flat_temperate,flat,temperate,9.9,117612.0,Swarm_3D2P,5,123,11.5,6.27,0.0137,0.1072,0.1759,0.8241,0.11895599961280823,570.86,61.3
5,flat_temperate,flat,temperate,9.9,117612.0,Greedy,5,123,19.0,6.2,0.0,0.0,0.0,0.0,0.183642,117.61,1.2
5,flat_temperate,flat,temperate,9.9,117612.0,Pizza,5,123,23.0,7.53,0.0,0.0,0.0,0.0,0.1996,117.61,0.8
5,flat_temperate,flat,temperate,9.9,117612.0,Swarm_3D2P,5,456,12.0,6.83,0.0151,0.1209,0.178,0.822,0.13210399448871613,569.76,60.9
5,flat_temperate,flat,temperate,9.9,117612.0,Greedy,5,456,16.5,6.49,0.0,0.0,0.0,0.0,0.181518,117.61,1.1
5,flat_temperate,flat,temperate,9.9,117612.0,Pizza,5,456,18.0,7.53,0.0,0.0,0.0,0.0,0.1996,117.61,0.7
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Swarm_3D2P,5,42,32.0,33.43,0.024,0.3041,0.3106,0.6894,0.30496901273727417,1902.76,580.4
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Greedy,5,42,19.0,11.85,0.0,0.0,0.0,0.0,0.170508,401.87,4.9
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Pizza,5,42,26.0,26.12,0.0,0.0,0.0,0.0,0.242746,401.87,2.7
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Swarm_3D2P,5,123,35.5,31.87,0.0233,0.3019,0.3644,0.6356,0.30140700936317444,1819.06,592.5
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Greedy,5,123,16.5,13.51,0.0,0.0,0.0,0.0,0.169132,401.87,4.3
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Pizza,5,123,24.5,26.12,0.0,0.0,0.0,0.0,0.242746,401.87,2.9
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Swarm_3D2P,5,456,35.5,34.85,0.0249,0.3119,0.3736,0.6264,0.3130500018596649,1845.66,603.5
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Greedy,5,456,15.5,11.7,0.0,0.0,0.0,0.0,0.1739,401.87,4.1
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Pizza,5,456,23.5,26.12,0.0,0.0,0.0,0.0,0.242746,401.87,2.6
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Swarm_3D2P,5,42,29.0,43.38,0.0316,0.3064,0.306,0.694,0.30681100487709045,1804.32,526.3
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Greedy,5,42,18.5,17.57,0.0,0.0,0.0,0.0,0.203921,401.87,3.7
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Pizza,5,42,20.0,26.12,0.0,0.0,0.0,0.0,0.234971,401.87,2.3
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Swarm_3D2P,5,123,31.0,43.39,0.0316,0.3064,0.306,0.694,0.3068229854106903,1804.21,516.6
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Greedy,5,123,18.5,14.62,0.0,0.0,0.0,0.0,0.166192,401.87,3.7
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Pizza,5,123,21.5,26.12,0.0,0.0,0.0,0.0,0.234971,401.87,2.4
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Swarm_3D2P,5,456,28.5,43.38,0.0316,0.3064,0.306,0.694,0.30681100487709045,1804.32,503.5
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Greedy,5,456,16.0,16.98,0.0,0.0,0.0,0.0,0.186962,401.87,3.7
20,mountain_temperate,mountainous,temperate,18.3,401868.0,Pizza,5,456,23.5,26.12,0.0,0.0,0.0,0.0,0.234971,401.87,2.4
31,flat_dry,flat,dry,13.1,205932.0,Swarm_3D2P,5,42,55.0,30.48,0.0404,0.5664,0.3329,0.6671,0.5774639844894409,1144.24,152.4
31,flat_dry,flat,dry,13.1,205932.0,Greedy,5,42,18.5,7.55,0.0,0.0,0.0,0.0,0.235864,205.93,2.6
31,flat_dry,flat,dry,13.1,205932.0,Pizza,5,42,16.5,13.29,0.0,0.0,0.0,0.0,0.177973,205.93,1.2
31,flat_dry,flat,dry,13.1,205932.0,Swarm_3D2P,5,123,52.5,28.98,0.0389,0.5459,0.3403,0.6597,0.5566110014915466,1144.58,146.1
31,flat_dry,flat,dry,13.1,205932.0,Greedy,5,123,17.5,6.26,0.0,0.0,0.0,0.0,0.203313,205.93,2.0
31,flat_dry,flat,dry,13.1,205932.0,Pizza,5,123,14.5,13.29,0.0,0.0,0.0,0.0,0.177973,205.93,1.1
31,flat_dry,flat,dry,13.1,205932.0,Swarm_3D2P,5,456,48.5,28.86,0.0376,0.5469,0.3688,0.6312,0.5564200282096863,1145.35,145.1
31,flat_dry,flat,dry,13.1,205932.0,Greedy,5,456,9.0,5.65,0.0,0.0,0.0,0.0,0.145312,205.93,2.0
31,flat_dry,flat,dry,13.1,205932.0,Pizza,5,456,16.0,13.29,0.0,0.0,0.0,0.0,0.177973,205.93,1.7
35,flat_dry,flat,dry,13.1,205932.0,Swarm_3D2P,5,42,29.0,25.27,0.0347,0.2964,0.1105,0.8895,0.3149830102920532,1043.54,169.7
35,flat_dry,flat,dry,13.1,205932.0,Greedy,5,42,17.0,7.45,0.0,0.0,0.0,0.0,0.233304,205.93,1.9
35,flat_dry,flat,dry,13.1,205932.0,Pizza,5,42,19.5,13.29,0.0,0.0,0.0,0.0,0.224091,205.93,1.1
35,flat_dry,flat,dry,13.1,205932.0,Swarm_3D2P,5,123,31.5,26.15,0.0366,0.289,0.1697,0.8303,0.3020919859409332,1037.73,146.3
35,flat_dry,flat,dry,13.1,205932.0,Greedy,5,123,19.0,6.72,0.0,0.0,0.0,0.0,0.191545,205.93,1.9
35,flat_dry,flat,dry,13.1,205932.0,Pizza,5,123,24.5,13.29,0.0,0.0,0.0,0.0,0.224091,205.93,1.1
35,flat_dry,flat,dry,13.1,205932.0,Swarm_3D2P,5,456,23.5,22.15,0.0305,0.2906,0.1511,0.8489,0.30078598856925964,1041.93,161.6
35,flat_dry,flat,dry,13.1,205932.0,Greedy,5,456,17.5,7.9,0.0,0.0,0.0,0.0,0.253278,205.93,2.0
35,flat_dry,flat,dry,13.1,205932.0,Pizza,5,456,18.5,13.29,0.0,0.0,0.0,0.0,0.224091,205.93,1.2
46,mountain_dry,mountainous,dry,19.3,446988.0,Swarm_3D2P,5,42,29.5,45.58,0.0291,0.3192,0.3905,0.6095,0.3229660093784332,2224.31,597.7
46,mountain_dry,mountainous,dry,19.3,446988.0,Greedy,5,42,16.0,15.44,0.0,0.0,0.0,0.0,0.165781,446.99,4.2
46,mountain_dry,mountainous,dry,19.3,446988.0,Pizza,5,42,19.5,29.08,0.0,0.0,0.0,0.0,0.201295,446.99,2.5
46,mountain_dry,mountainous,dry,19.3,446988.0,Swarm_3D2P,5,123,28.0,49.39,0.0325,0.3407,0.3089,0.6911,0.342399001121521,2232.15,750.5
46,mountain_dry,mountainous,dry,19.3,446988.0,Greedy,5,123,9.0,13.17,0.0,0.0,0.0,0.0,0.147805,446.99,5.1
