Scenario,Group,Environment,Climate,Radius_km,Budget_m,Algorithm,n_agents,Kill_fraction,N_agents_killed,Steps_completed,Seed,Victims_pct,Area_km2,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Efficiency_ratio,Likelihood,Path_km,Elapsed_s
1,flat_temperate,flat,temperate,9.9,117612.0,Swarm_3D2P,5,0.0,0,3240,42,37.5,17.73,0.0431,0.3996,0.2043,0.7957,0.4039030075073242,583.8,44.6
1,flat_temperate,flat,temperate,9.9,117612.0,Greedy,5,0.0,0,15000,42,45.5,20.57,0.0,0.0,0.0,0.0,0.478887,588.06,5.9
1,flat_temperate,flat,temperate,9.9,117612.0,Pizza,5,0.0,0,15000,42,56.0,38.35,0.0,0.0,0.0,0.0,0.577095,588.06,0.7
1,flat_temperate,flat,temperate,9.9,117612.0,Swarm_3D2P,5,0.2,1,3244,42,36.5,16.58,0.0395,0.3888,0.1918,0.8082,0.39445099234580994,541.5,42.7
1,flat_temperate,flat,temperate,9.9,117612.0,Greedy,5,0.2,1,15000,42,36.5,20.19,0.0,0.0,0.0,0.0,0.450198,486.13,5.3
1,flat_temperate,flat,temperate,9.9,117612.0,Pizza,5,0.2,1,15000,42,47.5,31.74,0.0,0.0,0.0,0.0,0.472044,486.13,0.7
1,flat_temperate,flat,temperate,9.9,117612.0,Swarm_3D2P,5,0.4,2,3225,42,35.0,15.18,0.0356,0.3626,0.2029,0.7971,0.3691039979457855,509.13,41.9
1,flat_temperate,flat,temperate,9.9,117612.0,Greedy,5,0.4,2,15000,42,24.5,13.67,0.0,0.0,0.0,0.0,0.303215,384.2,5.2
1,flat_temperate,flat,temperate,9.9,117612.0,Pizza,5,0.4,2,15000,42,36.5,25.06,0.0,0.0,0.0,0.0,0.367913,384.2,0.7
1,flat_temperate,flat,temperate,9.9,117612.0,Swarm_3D2P,5,0.6,3,3225,42,33.0,13.8,0.0319,0.3432,0.2182,0.7818,0.34992700815200806,474.51,41.2
1,flat_temperate,flat,temperate,9.9,117612.0,Greedy,5,0.6,3,15000,42,32.5,13.41,0.0,0.0,0.0,0.0,0.356949,282.27,5.5
1,flat_temperate,flat,temperate,9.9,117612.0,Pizza,5,0.6,3,15000,42,28.0,18.39,0.0,0.0,0.0,0.0,0.307281,282.27,0.8
1,flat_temperate,flat,temperate,9.9,117612.0,Swarm_3D2P,5,0.0,0,3240,123,41.0,17.73,0.0431,0.3996,0.2043,0.7957,0.4039030075073242,583.8,46.4
1,flat_temperate,flat,temperate,9.9,117612.0,Greedy,5,0.0,0,15000,123,45.5,25.4,0.0,0.0,0.0,0.0,0.490554,588.06,5.2
1,flat_temperate,flat,temperate,9.9,117612.0,Pizza,5,0.0,0,15000,123,60.0,38.35,0.0,0.0,0.0,0.0,0.577095,588.06,0.8
1,flat_temperate,flat,temperate,9.9,117612.0,Swarm_3D2P,5,0.2,1,3244,123,40.5,16.58,0.0395,0.3888,0.1918,0.8082,0.39445099234580994,541.5,44.4
1,flat_temperate,flat,temperate,9.9,117612.0,Greedy,5,0.2,1,15000,123,41.5,23.19,0.0,0.0,0.0,0.0,0.438639,486.13,6.4
1,flat_temperate,flat,temperate,9.9,117612.0,Pizza,5,0.2,1,15000,123,47.5,31.74,0.0,0.0,0.0,0.0,0.472044,486.13,0.8
1,flat_temperate,flat,temperate,9.9,117612.0,Swarm_3D2P,5,0.4,2,3225,123,38.5,15.18,0.0356,0.3626,0.2029,0.7971,0.3691039979457855,509.13,42.5
1,flat_temperate,flat,temperate,9.9,117612.0,Greedy,5,0.4,2,15000,123,32.0,15.7,0.0,0.0,0.0,0.0,0.378815,384.2,5.3
1,flat_temperate,flat,temperate,9.9,117612.0,Pizza,5,0.4,2,15000,123,38.5,25.06,0.0,0.0,0.0,0.0,0.367913,384.2,0.7
1,flat_temperate,flat,temperate,9.9,117612.0,Swarm_3D2P,5,0.6,3,3225,123,36.5,13.8,0.0319,0.3432,0.2182,0.7818,0.34992700815200806,474.51,42.1
1,flat_temperate,flat,temperate,9.9,117612.0,Greedy,5,0.6,3,15000,123,27.0,12.1,0.0,0.0,0.0,0.0,0.299919,282.27,6.3
1,flat_temperate,flat,temperate,9.9,117612.0,Pizza,5,0.6,3,15000,123,28.5,18.39,0.0,0.0,0.0,0.0,0.307281,282.27,0.8
1,flat_temperate,flat,temperate,9.9,117612.0,Swarm_3D2P,5,0.0,0,3240,456,38.0,17.73,0.0431,0.3996,0.2043,0.7957,0.4039030075073242,583.8,47.8
1,flat_temperate,flat,temperate,9.9,117612.0,Greedy,5,0.0,0,15000,456,54.5,28.75,0.0,0.0,0.0,0.0,0.543114,588.06,5.3
1,flat_temperate,flat,temperate,9.9,117612.0,Pizza,5,0.0,0,15000,456,61.0,38.35,0.0,0.0,0.0,0.0,0.577095,588.06,0.8
1,flat_temperate,flat,temperate,9.9,117612.0,Swarm_3D2P,5,0.2,1,3244,456,36.0,16.58,0.0395,0.3888,0.1918,0.8082,0.39445099234580994,541.5,45.5
1,flat_temperate,flat,temperate,9.9,117612.0,Greedy,5,0.2,1,15000,456,35.5,17.02,0.0,0.0,0.0,0.0,0.395772,486.13,6.4
1,flat_temperate,flat,temperate,9.9,117612.0,Pizza,5,0.2,1,15000,456,46.5,31.74,0.0,0.0,0.0,0.0,0.472044,486.13,0.7
1,flat_temperate,flat,temperate,9.9,117612.0,Swarm_3D2P,5,0.4,2,3225,456,32.5,15.18,0.0356,0.3626,0.2029,0.7971,0.3691039979457855,509.13,43.3
1,flat_temperate,flat,temperate,9.9,117612.0,Greedy,5,0.4,2,15000,456,31.0,16.71,0.0,0.0,0.0,0.0,0.33811,384.2,5.4
1,flat_temperate,flat,temperate,9.9,117612.0,Pizza,5,0.4,2,15000,456,37.0,25.06,0.0,0.0,0.0,0.0,0.367913,384.2,0.7
1,flat_temperate,flat,temperate,9.9,117612.0,Swarm_3D2P,5,0.6,3,3225,456,30.5,13.8,0.0319,0.3432,0.2182,0.7818,0.34992700815200806,474.51,42.5
