tick,agent_a,agent_b
314,drone_1,drone_3
315,drone_1,drone_3
316,drone_1,drone_3
317,drone_1,drone_3
318,drone_1,drone_3
319,drone_1,drone_3
320,drone_1,drone_3
321,drone_1,drone_3
322,drone_1,drone_3
323,drone_1,drone_3
324,drone_1,drone_3
325,drone_1,drone_3
326,drone_1,drone_3
327,drone_1,drone_3
328,drone_1,drone_3
329,drone_1,drone_3
330,drone_1,drone_3
331,drone_1,drone_3
332,drone_1,drone_3
333,drone_1,drone_3
334,drone_0,drone_3
334,drone_1,drone_3
335,drone_0,drone_3
335,drone_1,drone_3
336,drone_0,drone_1
336,drone_0,drone_3
336,drone_1,drone_3
337,drone_0,drone_1
337,drone_0,drone_3
337,drone_1,drone_3
338,drone_0,drone_1
338,drone_0,drone_3
338,drone_1,drone_3
339,drone_0,drone_1
339,drone_0,drone_3
339,drone_1,drone_3
340,drone_0,drone_1
340,drone_0,drone_3
340,drone_1,drone_3
341,drone_0,drone_1
341,drone_0,drone_3
341,drone_1,drone_3
342,drone_0,drone_1
342,drone_0,drone_3
342,drone_1,drone_3
343,drone_0,drone_1
343,drone_0,drone_3
343,drone_1,drone_3
344,drone_0,drone_1
344,drone_0,drone_3
344,drone_1,drone_3
345,drone_0,drone_1
345,drone_0,drone_3
345,drone_1,drone_3
346,drone_0,drone_1
346,drone_0,drone_3
346,drone_1,drone_3
347,drone_0,drone_1
347,drone_0,drone_3
347,drone_1,drone_3
348,drone_0,drone_1
348,drone_0,drone_3
348,drone_1,drone_3
349,drone_0,drone_1
349,drone_0,drone_3
349,drone_1,drone_3
350,drone_0,drone_1
350,drone_0,drone_3
350,drone_1,drone_3
351,drone_0,drone_1
351,drone_0,drone_3
351,drone_1,drone_3
352,drone_0,drone_1
352,drone_0,drone_3
352,drone_1,drone_3
353,drone_0,drone_1
353,drone_0,drone_3
353,drone_1,drone_3
354,drone_0,drone_1
354,drone_0,drone_3
354,drone_1,drone_3
355,drone_0,drone_1
355,drone_0,drone_3
355,drone_1,drone_3
356,drone_0,drone_1
356,drone_0,drone_3
356,drone_1,drone_3
357,drone_0,drone_1
357,drone_0,drone_3
357,drone_1,drone_3
358,drone_0,drone_1
358,drone_0,drone_3
358,drone_1,drone_3
359,drone_0,drone_1
359,drone_0,drone_3
359,drone_1,drone_3
360,drone_0,drone_1
360,drone_0,drone_3
360,drone_1,drone_3
361,drone_0,drone_1
361,drone_0,drone_3
361,drone_1,drone_3
362,drone_0,drone_1
362,drone_0,drone_3
362,drone_1,drone_3
363,drone_0,drone_1
363,drone_0,drone_3
363,drone_1,drone_3
364,drone_0,drone_1
364,drone_0,drone_3
364,drone_1,drone_3
365,drone_0,drone_1
365,drone_0,drone_3
365,drone_1,drone_3
366,drone_0,drone_1
366,drone_0,drone_3
366,drone_1,drone_3
367,drone_0,drone_1
367,drone_0,drone_3
367,drone_1,drone_3
368,drone_0,drone_1
368,drone_0,drone_3
368,drone_1,drone_3
369,drone_0,drone_1
369,drone_0,drone_3
369,drone_1,drone_3
370,drone_0,drone_3
371,drone_0,drone_3
372,drone_0,drone_3
373,drone_0,drone_3
374,drone_0,drone_3
375,drone_0,drone_3
376,drone_0,drone_3
377,drone_0,drone_3
378,drone_0,drone_3
379,drone_0,drone_3
380,drone_0,drone_3
381,drone_0,drone_3
382,drone_0,drone_3
383,drone_0,drone_3
384,drone_0,drone_3
385,drone_0,drone_3
386,drone_0,drone_3
387,drone_0,drone_3
388,drone_0,drone_3
389,drone_0,drone_3
390,drone_0,drone_3
391,drone_0,drone_3
392,drone_0,drone_3
393,drone_0,drone_3
