total_cells,explored_cells,coverage_ratio,overlap_cells,overlap_ratio,probability_covered,probability_total,probability_coverage_ratio,per_agent_explored,total_timesteps,paths_lengths_m,budget_consumed_m,effective_cells,redundant_visits,efficiency_ratio,time_to_first_victim,info_propagation_latency,coverage_gini,cluster_ratio,mean_pair_distance_cells,scenario,presence_weight,seed,do_kill,kill_tick,recovery_zone_size,recovery_time,recovery_coverage_at_end,elapsed_s
434940,14402,0.03311261323400929,8906,0.3821005663291574,0.303457128048251,1.0,0.303457128048251,"{'drone_0': 4636, 'drone_1': 4824, 'drone_2': 4882, 'drone_3': 4291, 'drone_4': 4675}",2573,"{'drone_0': 99975.51258454012, 'drone_1': 99999.07994944042, 'drone_2': 99975.30572191387, 'drone_3': 99999.63496601704, 'drone_4': 99984.89958160123}","{'drone_0': np.float64(99975.51258452433), 'drone_1': np.float64(99999.07994945771), 'drone_2': np.float64(99975.30572190322), 'drone_3': np.float64(99999.63496602004), 'drone_4': np.float64(99984.8995815931)}",14402,8906,0.6178994336708427,,1122.4566332218506,0.36745890261579106,0.008961141950832672,63.85618556701031,sarenv_s1_5d_100k,0.0,42,False,-1,0,nan,nan,13.968249500001548
434940,15019,0.03453119970570653,9116,0.3777087217733582,0.32515274806735306,1.0,0.32515274806735306,"{'drone_0': 4477, 'drone_1': 5467, 'drone_2': 4580, 'drone_3': 5062, 'drone_4': 4549}",2658,"{'drone_0': 99971.43126617603, 'drone_1': 99998.41365627102, 'drone_2': 99970.05729771618, 'drone_3': 99999.56042467097, 'drone_4': 99976.24844256016}","{'drone_0': np.float64(99971.43126617093), 'drone_1': np.float64(99998.41365626865), 'drone_2': np.float64(99970.05729770758), 'drone_3': np.float64(99999.56042466799), 'drone_4': np.float64(99976.24844256118)}",15019,9116,0.6222912782266418,,1275.3597990890373,0.3426694208771264,0.0,60.64261268781302,sarenv_s1_5d_100k,0.01,42,False,-1,0,nan,nan,13.68742870001006
434940,13093,0.030103002713017888,7062,0.35038451997023073,0.2895825469847182,1.0,0.2895825469847182,"{'drone_0': 4360, 'drone_1': 5122, 'drone_2': 1507, 'drone_3': 4703, 'drone_4': 4463}",2612,"{'drone_0': 99961.1498868462, 'drone_1': 99963.61658158997, 'drone_2': 36554.09331436874, 'drone_3': 99961.82442287808, 'drone_4': 99975.76843881965}","{'drone_0': np.float64(99961.14988684595), 'drone_1': np.float64(99963.61658159227), 'drone_2': np.float64(36554.09331436633), 'drone_3': np.float64(99961.8244228724), 'drone_4': np.float64(99975.76843881629)}",13093,7062,0.6496154800297693,,1225.5060186157184,0.3658717003523291,0.004395604395604396,78.24195804195804,sarenv_s1_5d_100k,0.0,42,True,1000,5,1,1.0,27.42873809998855
434940,13272,0.03051455373154918,7574,0.3633310946944258,0.2884187228843871,1.0,0.2884187228843871,"{'drone_0': 4757, 'drone_1': 5010, 'drone_2': 1394, 'drone_3': 4679, 'drone_4': 5006}",2610,"{'drone_0': 99989.40719126945, 'drone_1': 99996.1451437515, 'drone_2': 36417.230708747986, 'drone_3': 99959.44056625568, 'drone_4': 99996.53410046246}","{'drone_0': np.float64(99989.4071912615), 'drone_1': np.float64(99996.14514375759), 'drone_2': np.float64(36417.23070874808), 'drone_3': np.float64(99959.44056624558), 'drone_4': np.float64(99996.53410046162)}",13272,7574,0.6366689053055742,,1327.4654598174052,0.3515923307795821,0.0,74.17312687312688,sarenv_s1_5d_100k,0.01,42,True,1000,5,nan,0.0,13.332168900000397
434940,13777,0.031675633420701704,10141,0.42399030019232375,0.3037934555106858,1.0,0.3037934555106858,"{'drone_0': 4966, 'drone_1': 4782, 'drone_2': 4799, 'drone_3': 4633, 'drone_4': 4738}",2606,"{'drone_0': 99974.80903067281, 'drone_1': 99999.09191619475, 'drone_2': 99972.30463770551, 'drone_3': 99968.0123892417, 'drone_4': 99965.61142759121}","{'drone_0': np.float64(99974.80903066616), 'drone_1': np.float64(99999.0919161931), 'drone_2': np.float64(99972.30463770244), 'drone_3': np.float64(99968.01238923916), 'drone_4': np.float64(99965.61142758557)}",13777,10141,0.5760096998076762,,1181.5406571905392,0.36782319902941807,0.008003201280512205,57.755582232893154,sarenv_s1_5d_100k,0.0,1,False,-1,0,nan,nan,14.642237399995793
434940,15702,0.03610153124568906,8494,0.3510497602909572,0.3356724482357549,1.0,0.3356724482357549,"{'drone_0': 4718, 'drone_1': 5485, 'drone_2': 4387, 'drone_3': 5160, 'drone_4': 4446}",2629,"{'drone_0': 99972.41231830786, 'drone_1': 99998.46282974083, 'drone_2': 99984.19214204003, 'drone_3': 99958.93149074668, 'drone_4': 99978.63253491951}","{'drone_0': np.float64(99972.41231830447), 'drone_1': np.float64(99998.46282974313), 'drone_2': np.float64(99984.19214205093), 'drone_3': np.float64(99958.93149074003), 'drone_4': np.float64(99978.63253492049)}",15702,8494,0.6489502397090429,,1270.4240326369143,0.33515291048992313,0.000995850622406639,62.41489626556017,sarenv_s1_5d_100k,0.01,1,False,-1,0,nan,nan,14.293861399986781
434940,12957,0.029790315905642156,7776,0.3750542613225293,0.28236808564162175,1.0,0.28236808564162175,"{'drone_0': 4970, 'drone_1': 4822, 'drone_2': 1605, 'drone_3': 4641, 'drone_4': 4695}",2599,"{'drone_0': 99974.07640506283, 'drone_1': 99999.84122930098, 'drone_2': 37501.357314893976, 'drone_3': 99969.90810714288, 'drone_4': 99959.11293156263}","{'drone_0': np.float64(99974.07640504674), 'drone_1': np.float64(99999.84122930405), 'drone_2': np.float64(37501.35731488776), 'drone_3': np.float64(99969.90810714298), 'drone_4': np.float64(99959.11293155339)}",12957,7776,0.6249457386774707,,1278.2096174192006,0.3733319952180687,0.01918081918081918,62.595104895104896,sarenv_s1_5d_100k,0.0,1,True,1000,5,306,1.0,13.721645200013882
434940,13944,0.032059594426817495,7192,0.34027252081756243,0.30168027746123016,1.0,0.30168027746123016,"{'drone_0': 4555, 'drone_1': 5544, 'drone_2': 1412, 'drone_3': 4462, 'drone_4': 5163}",2622,"{'drone_0': 99975.73996639746, 'drone_1': 99999.39423693425, 'drone_2': 36454.515488895995, 'drone_3': 99969.62683104754, 'drone_4': 99996.69142600593}","{'drone_0': np.float64(99975.73996639388), 'drone_1': np.float64(99999.39423693603), 'drone_2': np.float64(36454.51548889806), 'drone_3': np.float64(99969.62683104206), 'drone_4': np.float64(99996.69142600382)}",13944,7192,0.6597274791824376,,1329.941237649506,0.3379036139061713,0.0005994005994005994,78.4038961038961,sarenv_s1_5d_100k,0.01,1,True,1000,5,137,1.0,13.923062299989397
434940,13961,0.03209868027773946,9409,0.40261018399657683,0.29889581926852316,1.0,0.29889581926852316,"{'drone_0': 4636, 'drone_1': 4878, 'drone_2': 4772, 'drone_3': 4291, 'drone_4': 4793}",2576,"{'drone_0': 99975.51258454012, 'drone_1': 99989.1625225466, 'drone_2': 99998.91496041286, 'drone_3': 99999.63496601704, 'drone_4': 99958.00756526219}","{'drone_0': np.float64(99975.51258452433), 'drone_1': np.float64(99989.16252256287), 'drone_2': np.float64(99998.91496040387), 'drone_3': np.float64(99999.63496602004), 'drone_4': np.float64(99958.00756525583)}",13961,9409,0.5973898160034232,,1079.2951963698952,0.3723139379084657,0.009014758675708017,61.55975269246111,sarenv_s1_5d_100k,0.0,7,False,-1,0,nan,nan,14.724130799993873
434940,15019,0.03453119970570653,9116,0.3777087217733582,0.32515274806735306,1.0,0.32515274806735306,"{'drone_0': 4477, 'drone_1': 5467, 'drone_2': 4580, 'drone_3': 5062, 'drone_4': 4549}",2658,"{'drone_0': 99971.43126617603, 'drone_1': 99998.41365627102, 'drone_2': 99970.05729771618, 'drone_3': 99999.56042467097, 'drone_4': 99976.24844256016}","{'drone_0': np.float64(99971.43126617093), 'drone_1': np.float64(99998.41365626865), 'drone_2': np.float64(99970.05729770758), 'drone_3': np.float64(99999.56042466799), 'drone_4': np.float64(99976.24844256118)}",15019,9116,0.6222912782266418,,1275.3597990890373,0.3426694208771264,0.0,60.64261268781302,sarenv_s1_5d_100k,0.01,7,False,-1,0,nan,nan,13.72667740000179
