scenario,do_kill,presence_weight,n,probability_coverage_ratio_n_finite,probability_coverage_ratio_mean,probability_coverage_ratio_std,coverage_ratio_n_finite,coverage_ratio_mean,coverage_ratio_std,efficiency_ratio_n_finite,efficiency_ratio_mean,efficiency_ratio_std,coverage_gini_n_finite,coverage_gini_mean,coverage_gini_std,recovery_time_n_finite,recovery_time_mean,recovery_time_std,recovery_coverage_at_end_n_finite,recovery_coverage_at_end_mean,recovery_coverage_at_end_std
flatT_S_01,False,0.0,3,3,0.30204880094248665,0.0027357355716076067,3,0.032295642310816816,0.0007384600719191598,3,0.597099649827314,0.02094637434233061,3,0.36919867985122495,0.0027040344934279015,0,nan,0.0,0,nan,0.0
flatT_S_01,False,0.01,3,3,0.3286593147901537,0.006073551724020971,3,0.03505464355236738,0.0009066313373258704,3,0.6311775987207755,0.01539155858818014,3,0.3401639174147253,0.004339659295418412,0,nan,0.0,0,nan,0.0
flatT_S_01,True,0.0,3,3,0.28413848262190794,0.017463024317624556,3,0.030436382029705247,0.0013112836924444914,3,0.6689345751201262,0.015782172256270065,3,0.34856036831464626,0.026889031800341814,3,153.33333333333334,203.22729475474827,3,1.0,0.0
flatT_S_01,True,0.01,3,3,0.30043025439967624,0.006504662960764972,3,0.031480204166091874,0.0003783161510071354,3,0.6792047747439369,0.002559611675028795,3,0.3350643649229021,0.00963538613477009,3,632.0,284.05633244129587,3,1.0,0.0
flatT_S_05,False,0.0,3,3,0.11938556491070575,0.0017349744424543729,3,0.017344921138547846,0.0003239461203653117,3,0.8463297455496006,0.010182115798230444,3,0.7670717744326571,0.003335697106237353,0,nan,0.0,0,nan,0.0
flatT_S_05,False,0.01,3,3,0.11258746720003024,0.0019520642397518001,3,0.01673180975153661,0.00013672478439907056,3,0.8160878941131308,0.00011633155491552871,3,0.7782624908412913,0.0014741962653634197,0,nan,0.0,0,nan,0.0
flatT_S_05,True,0.0,3,3,0.10819748891230783,0.00022453256358291888,3,0.01589184715133122,0.00017358335483677693,3,0.8679502650821289,0.024637218474332305,3,0.7528632541604042,0.0038067897279308554,3,763.0,0.0,3,1.0,0.0
flatT_S_05,True,0.01,3,3,0.10425819615553046,0.0018275310925909005,3,0.015487193635903803,5.17695785588709e-05,3,0.8392423796286972,0.005792689246683993,3,0.7612191249808404,0.002318405374018093,3,697.0,0.0,3,1.0,0.0
flatT_S_10,False,0.0,3,3,0.217455148372333,0.010036378397270443,3,0.033131390351715445,0.0028113318230400214,3,0.8880538447066102,0.016848052111491253,3,0.5589845123592931,0.037497343057170424,0,nan,0.0,0,nan,0.0
flatT_S_10,False,0.01,3,3,0.1971844520577917,0.006695926125473628,3,0.02858441116849843,0.002705190632111338,3,0.8072325255175784,0.06421352931889847,3,0.6059263111574571,0.04211738235005525,0,nan,0.0,0,nan,0.0
flatT_S_10,True,0.0,3,3,0.1963425984487454,0.003644915420307089,3,0.03098377931953428,0.0024661702749850657,3,0.9086421575757591,0.023298054101663686,3,0.5041022938581917,0.03921193978965263,0,nan,0.0,3,0.0,0.0
flatT_S_10,True,0.01,3,3,0.18296024936648111,0.009606641862483573,3,0.02679754966638344,0.0034834082507070314,3,0.8242286500676754,0.0679636681807106,3,0.5552042473007465,0.06605143732277918,3,48.0,0.0,3,1.0,0.0
