n_agents,num_drones,num_dogs,max_hops,Budget_m,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Victims_pct,Area_km2,Path_length_km,Likelihood,TD_Score,Time_first_victim,Efficiency_ratio,Latency,Elapsed_s,Algorithm,Seed,N,Budget_per_agent_km
3,2,1,1.0,166666.66666666666,0.07090175711199327,0.28825111940171005,0.15030929149926664,28.499999999999996,12.324155264509342,459.8111223058519,0.13889753818511963,0.003652287906472638,43.0,0.8496907085007334,2518.469744153386,3.7,Swarm_3,42,3,166.66666666666666
3,3,0,,166666.66666666666,,,,28.999999999999996,19.093913754716645,500.00000000000034,0.15899038243604646,0.0017632523749776306,,,,4.6,Greedy,42,3,166.66666666666666
3,3,0,,166666.66666666666,,,,28.499999999999996,33.1442925458231,500.0,0.13696027588728646,0.00046408528961049676,,,,0.9,Spiral,42,3,166.66666666666666
3,3,0,,166666.66666666666,,,,35.5,32.79105922769445,500.00000000000074,0.20589104081764592,0.0008938950715744824,,,,0.4,Pizza,42,3,166.66666666666666
3,2,1,1.0,166666.66666666666,0.07185960132395355,0.2928466473302671,0.14129467124507186,26.0,12.551302686791667,460.36503193768493,0.14129666984081268,0.003663014263397742,37.0,0.8587053287549281,2518.9403892944038,3.9,Swarm_3,123,3,166.66666666666666
3,3,0,,166666.66666666666,,,,23.5,13.571707435899743,499.99999999999966,0.11523829000940816,0.001749432211687789,,,,4.8,Greedy,123,3,166.66666666666666
3,3,0,,166666.66666666666,,,,27.0,33.1442925458231,500.0,0.13696027588728646,0.00046408528961049676,,,,0.9,Spiral,123,3,166.66666666666666
3,3,0,,166666.66666666666,,,,46.5,32.79105922769445,500.00000000000074,0.20589104081764592,0.0008938950715744824,,,,0.4,Pizza,123,3,166.66666666666666
3,2,1,1.0,166666.66666666666,0.07280680282244761,0.29909122315672954,0.1342698051126297,30.0,12.645601513579791,457.337369716288,0.1446155458688736,0.003652318791012783,18.0,0.8657301948873702,2533.80007142432,3.6,Swarm_3,456,3,166.66666666666666
3,3,0,,166666.66666666666,,,,35.0,19.318968609474357,500.0,0.184455767002336,0.0020690601869392993,,,,4.3,Greedy,456,3,166.66666666666666
3,3,0,,166666.66666666666,,,,28.499999999999996,33.1442925458231,500.0,0.13696027588728646,0.00046408528961049676,,,,0.9,Spiral,456,3,166.66666666666666
3,3,0,,166666.66666666666,,,,43.5,32.79105922769445,500.00000000000074,0.20589104081764592,0.0008938950715744824,,,,0.4,Pizza,456,3,166.66666666666666
3,2,1,1.0,166666.66666666666,0.07182235182682177,0.29279993686473693,0.141412213740458,30.0,12.538182959656147,460.3490047340998,0.14137069880962372,0.003663014263397742,10.0,0.858587786259542,2522.527503955215,3.6,Swarm_3,789,3,166.66666666666666
3,3,0,,166666.66666666666,,,,19.5,14.053684238455867,500.0,0.11108793733318657,0.002182555855906617,,,,4.3,Greedy,789,3,166.66666666666666
3,3,0,,166666.66666666666,,,,23.0,33.1442925458231,500.0,0.13696027588728646,0.00046408528961049676,,,,0.9,Spiral,789,3,166.66666666666666
3,3,0,,166666.66666666666,,,,45.5,32.79105922769445,500.00000000000074,0.20589104081764592,0.0008938950715744824,,,,0.4,Pizza,789,3,166.66666666666666
3,2,1,1.0,166666.66666666666,0.07164142569789593,0.29076954786352766,0.14221089518955082,26.5,12.531537612003481,460.49799564514325,0.1404607892036438,0.003652287906472638,64.0,0.8577891048104492,2512.969190409371,3.6,Swarm_3,2025,3,166.66666666666666
3,3,0,,166666.66666666666,,,,26.0,14.862350022918859,500.0,0.14580927754405154,0.001643697640661171,,,,4.3,Greedy,2025,3,166.66666666666666
3,3,0,,166666.66666666666,,,,27.0,33.1442925458231,500.0,0.13696027588728646,0.00046408528961049676,,,,0.9,Spiral,2025,3,166.66666666666666
3,3,0,,166666.66666666666,,,,38.0,32.79105922769445,500.00000000000074,0.20589104081764592,0.0008938950715744824,,,,0.4,Pizza,2025,3,166.66666666666666
5,3,2,1.0,100000.0,0.07039622822234758,0.2795874663243382,0.177761203306607,32.0,12.376873058084955,445.96218373580643,0.13440586626529694,0.0025124747922587454,11.0,0.822238796693393,1596.111304055568,3.3,Swarm_5,42,5,100.0
5,5,0,,100000.0,,,,22.5,15.610758815350225,500.0000000000001,0.14095590487831006,0.0020300129624896716,,,,4.3,Greedy,42,5,100.0
5,5,0,,100000.0,,,,30.5,33.151101460832784,499.9999999999998,0.13513656921665185,0.0004627592819281773,,,,1.0,Spiral,42,5,100.0
5,5,0,,100000.0,,,,35.5,32.55850596222095,499.9999999999994,0.20434714324239675,0.0013149308163302683,,,,0.3,Pizza,42,5,100.0
5,3,2,1.0,100000.0,0.06955013250178266,0.276930416659421,0.1874922292676862,27.0,12.16393710927535,448.1205766023189,0.1332567185163498,0.0025124747922587454,24.0,0.8125077707323138,1577.934882418813,3.4,Swarm_5,123,5,100.0
5,5,0,,100000.0,,,,23.0,14.258680200865403,499.99999999999983,0.12574731960921712,0.00195737275038205,,,,4.2,Greedy,123,5,100.0
5,5,0,,100000.0,,,,25.0,33.151101460832784,499.9999999999998,0.13513656921665185,0.0004627592819281773,,,,0.9,Spiral,123,5,100.0
5,5,0,,100000.0,,,,46.5,32.55850596222095,499.9999999999994,0.20434714324239675,0.0013149308163302683,,,,0.3,Pizza,123,5,100.0
5,3,2,1.0,100000.0,0.07132214429390918,0.2841155215705394,0.18725365350797404,24.5,12.623376523542241,457.3835783609996,0.13682721555233002,0.0025124747922587454,22.0,0.8127463464920259,1568.2930890460545,3.3,Swarm_5,456,5,100.0
5,5,0,,100000.0,,,,28.000000000000004,16.260000912803342,500.0,0.15001536022194992,0.0018671049995637654,,,,4.3,Greedy,456,5,100.0
5,5,0,,100000.0,,,,31.0,33.151101460832784,499.9999999999998,0.13513656921665185,0.0004627592819281773,,,,1.0,Spiral,456,5,100.0
5,5,0,,100000.0,,,,43.0,32.55850596222095,499.9999999999994,0.20434714324239675,0.0013149308163302683,,,,0.4,Pizza,456,5,100.0
