n_agents,num_drones,num_dogs,max_hops,kill_fraction,Budget_m,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Victims_pct,Area_km2,Path_length_km,Likelihood,TD_Score,Time_first_victim,Efficiency_ratio,Latency,Elapsed_s,Algorithm,Seed
5,3,2,1.0,0.0,100000.0,0.24718090474310034,0.5818045942640135,0.2745943857841875,53.5,10.817692455252635,504.895853800602,0.12210988253355026,0.002522347113363638,8.0,0.7254056142158125,1762.803077799943,1.5,Swarm_3D2P,42
5,5,0,,0.0,100000.0,,,,100.0,32.45701091812307,498.41379733158414,0.20112372399723896,0.001315990105965835,,,,0.1,Pizza,42
5,5,0,,0.0,100000.0,,,,62.5,14.528499179483564,499.99999999999955,0.14735317409474782,0.0020266363810597693,,,,4.4,Greedy,42
5,3,2,1.0,0.0,100000.0,0.23452239919266377,0.5800971190681972,0.39147264757784483,52.0,10.105302841387802,527.4111871064604,0.11964192241430283,0.0029375746203238063,8.0,0.6085273524221552,2055.2456568557072,1.8,Swarm_3D2P,123
5,5,0,,0.0,100000.0,,,,100.0,32.45701091812307,498.41379733158414,0.20112372399723896,0.001315990105965835,,,,0.0,Pizza,123
5,5,0,,0.0,100000.0,,,,49.5,13.381032576234702,499.9999999999999,0.1310068949708928,0.0013219096299280121,,,,4.2,Greedy,123
5,3,2,1.0,0.0,100000.0,0.2705015137554298,0.6160985923317693,0.27346650167933534,51.5,11.322948841642813,496.8285638741481,0.12549328804016113,0.002281855792779887,4.0,0.7265334983206647,1709.5965423870027,1.6,Swarm_3D2P,456
5,5,0,,0.0,100000.0,,,,100.0,32.45701091812307,498.41379733158414,0.20112372399723896,0.001315990105965835,,,,0.0,Pizza,456
5,5,0,,0.0,100000.0,,,,60.5,13.281175283812251,499.9999999999998,0.13583091246227597,0.0018985599131824335,,,,4.3,Greedy,456
5,3,2,1.0,0.0,100000.0,0.2447018559957878,0.5688218955723742,0.3637556328789002,48.5,10.59651383510848,501.58564149838315,0.11797495931386948,0.0020212718375473655,20.0,0.6362443671210998,1728.9820589942483,1.5,Swarm_3D2P,789
5,5,0,,0.0,100000.0,,,,100.0,32.45701091812307,498.41379733158414,0.20112372399723896,0.001315990105965835,,,,0.0,Pizza,789
5,5,0,,0.0,100000.0,,,,35.0,10.697687486960898,499.9999999999998,0.08486701575891856,0.002038329869626203,,,,4.3,Greedy,789
5,3,2,1.0,0.0,100000.0,0.23737440217629766,0.5826938814783738,0.33562569077735477,49.5,10.363435923867657,524.1514914280025,0.1210562214255333,0.0028447971120345895,4.0,0.6643743092226452,2138.6478633335005,1.7,Swarm_3D2P,2025
5,5,0,,0.0,100000.0,,,,100.0,32.45701091812307,498.41379733158414,0.20112372399723896,0.001315990105965835,,,,0.0,Pizza,2025
5,5,0,,0.0,100000.0,,,,49.5,12.275440718515547,499.99999999999994,0.10639072777161562,0.0019632089923682155,,,,4.3,Greedy,2025
5,3,2,1.0,0.2,100000.0,0.24224474573296476,0.581599422552208,0.2642100353168521,53.5,10.650639686798645,480.8012642688249,0.12202480435371399,0.0025217821423196636,8.0,0.7357899646831478,1815.243928444497,1.4,Swarm_3D2P,42
5,5,0,,0.2,100000.0,,,,80.5,27.92850417674853,428.6358657051619,0.1647269018235138,0.0013200669949545963,,,,0.0,Pizza,42
5,5,0,,0.2,100000.0,,,,63.0,13.458192246806286,430.00000000000034,0.1371796323446058,0.0016329452412022663,,,,4.2,Greedy,42
5,3,2,1.0,0.2,100000.0,0.22971787108946515,0.5719410238784873,0.38582908088450935,51.5,9.925323354232825,507.8945776631209,0.11792457848787308,0.0029379922672481016,8.0,0.6141709191154906,2125.886857878833,1.6,Swarm_3D2P,123
5,5,0,,0.2,100000.0,,,,76.5,27.92850417674853,428.6358657051619,0.1647269018235138,0.0013200669949545963,,,,0.0,Pizza,123
5,5,0,,0.2,100000.0,,,,46.0,11.674684058057075,429.9999999999998,0.11902575226617645,0.0017586367636506944,,,,4.1,Greedy,123
5,3,2,1.0,0.2,100000.0,0.2666622789697688,0.6118034646296457,0.25103210302544826,50.5,11.251063125532271,480.74644228247445,0.12494897842407227,0.0022785970264690572,4.0,0.7489678969745517,1796.9737001709213,1.5,Swarm_3D2P,456
5,5,0,,0.2,100000.0,,,,76.0,27.92850417674853,428.6358657051619,0.1647269018235138,0.0013200669949545963,,,,0.0,Pizza,456
5,5,0,,0.2,100000.0,,,,41.5,11.687645768034448,430.0,0.12103777842297009,0.0018372749600217074,,,,4.2,Greedy,456
5,3,2,1.0,0.2,100000.0,0.2362336009828441,0.5683179132211373,0.35377783112284705,48.5,10.334947516177676,484.2319913803552,0.11793528497219086,0.0020213262301565994,20.0,0.646222168877153,1783.0748456790122,1.5,Swarm_3D2P,789
5,5,0,,0.2,100000.0,,,,75.0,27.92850417674853,428.6358657051619,0.1647269018235138,0.0013200669949545963,,,,0.0,Pizza,789
5,5,0,,0.2,100000.0,,,,45.0,11.229963940705803,430.0000000000002,0.10570689553280851,0.0018908792911280275,,,,4.1,Greedy,789
5,3,2,1.0,0.2,100000.0,0.2200429994295994,0.5495673638308155,0.34623908225785427,46.5,9.675338760414528,498.3523844495519,0.1144786849617958,0.0028457348121244757,4.0,0.6537609177421457,2234.0801927658654,1.6,Swarm_3D2P,2025
5,5,0,,0.2,100000.0,,,,79.5,27.92850417674853,428.6358657051619,0.1647269018235138,0.0013200669949545963,,,,0.1,Pizza,2025
5,5,0,,0.2,100000.0,,,,37.5,10.168396861632575,430.00000000000045,0.08727857764825979,0.0020099369000946936,,,,4.3,Greedy,2025
5,3,2,1.0,0.4,100000.0,0.22230266333201704,0.5477480360400554,0.26715845808924565,50.0,10.032259525180704,450.2193713189161,0.11598192900419235,0.0025217821423196636,8.0,0.7328415419107543,1915.1443108821472,1.5,Swarm_3D2P,42
5,5,0,,0.4,100000.0,,,,66.0,23.358654863605373,358.8579340787375,0.13530730397886598,0.0013200669949545972,,,,0.0,Pizza,42
5,5,0,,0.4,100000.0,,,,31.0,8.60280188629572,359.9999999999999,0.0779046548891704,0.0013719810332871454,,,,4.2,Greedy,42
5,3,2,1.0,0.4,100000.0,0.2218638936422272,0.5603969436217794,0.38986425339366515,51.0,9.667347836813095,488.03707828041536,0.11555322259664536,0.0029379922672481016,8.0,0.6101357466063349,2162.979707504681,1.7,Swarm_3D2P,123
5,5,0,,0.4,100000.0,,,,62.0,23.358654863605373,358.8579340787375,0.13530730397886598,0.0013200669949545972,,,,0.0,Pizza,123
5,5,0,,0.4,100000.0,,,,37.0,9.197512475807017,359.99999999999994,0.08891321667640567,0.0013772836177975202,,,,4.2,Greedy,123
5,3,2,1.0,0.4,100000.0,0.24610591900311526,0.5703904655173567,0.26424870466321243,47.0,10.462213330294249,453.3866697969857,0.11674512922763824,0.0022785970264690572,4.0,0.7357512953367875,1882.9548815276241,1.4,Swarm_3D2P,456
5,5,0,,0.4,100000.0,,,,64.5,23.358654863605373,358.8579340787375,0.13530730397886598,0.0013200669949545972,,,,0.0,Pizza,456
5,5,0,,0.4,100000.0,,,,39.5,9.999748058544697,359.9999999999994,0.09799956315464257,0.0020182196419640344,,,,4.3,Greedy,456
5,3,2,1.0,0.4,100000.0,0.21526040981089026,0.5252414594631496,0.37367547555215114,46.0,9.51222399542281,456.86522578064853,0.10928106307983398,0.0020213262301565994,20.0,0.6263245244478488,1866.3755822077317,1.4,Swarm_3D2P,789
5,5,0,,0.4,100000.0,,,,63.0,23.358654863605373,358.8579340787375,0.13530730397886598,0.0013200669949545972,,,,0.0,Pizza,789
5,5,0,,0.4,100000.0,,,,30.5,8.600657765358061,359.9999999999997,0.08135086699761312,0.002058725982494879,,,,4.3,Greedy,789
5,3,2,1.0,0.4,100000.0,0.21087271291299198,0.5347944273448318,0.3466113792400245,46.5,9.412852796683131,474.4263140816611,0.1115100085735321,0.0028457348121244757,4.0,0.6533886207599755,2316.26032123063,1.6,Swarm_3D2P,2025
5,5,0,,0.4,100000.0,,,,65.5,23.358654863605373,358.8579340787375,0.13530730397886598,0.0013200669949545972,,,,0.0,Pizza,2025
