n_agents,num_drones,num_dogs,max_hops,Budget_m,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Victims_pct,Area_km2,Path_length_km,Likelihood,TD_Score,Time_first_victim,Efficiency_ratio,Latency,Elapsed_s,Algorithm,Seed
5,5,0,1.0,100000,0.2988240972313633,0.6339675544457176,0.436985905013847,55.00000000000001,11.901889848227846,499.876717398282,0.1280229687690735,0.00278964526773705,8.0,0.5630140949861531,1551.2013437364542,2.2,Swarm_5D,42
5,5,0,,100000,,,,36.0,10.01489796983444,500.0,0.08833478448425604,0.0018615358525947404,,,,4.4,Greedy,42
5,5,0,,100000,,,,98.5,32.17171516320787,485.4420806107895,0.20090857294050632,0.00046410456260945605,,,,0.2,Spiral,42
5,5,0,,100000,,,,100.0,32.45701091812307,498.41379733158414,0.20112372399723896,0.001315990105965835,,,,0.0,Pizza,42
5,5,0,1.0,100000,0.30902549251897676,0.6316547126974262,0.3888937093275488,48.0,12.25757039345369,499.8963077826507,0.1273370236158371,0.002873193372381186,4.0,0.6111062906724511,1270.518847755148,2.3,Swarm_5D,123
5,5,0,,100000,,,,47.5,13.176606824327722,500.0000000000007,0.13216394836327183,0.002045079643237425,,,,4.4,Greedy,123
5,5,0,,100000,,,,99.5,32.17171516320787,485.4420806107895,0.20090857294050632,0.00046410456260945605,,,,0.2,Spiral,123
5,5,0,,100000,,,,100.0,32.45701091812307,498.41379733158414,0.20112372399723896,0.001315990105965835,,,,0.0,Pizza,123
5,5,0,1.0,100000,0.2768417357728928,0.5715173239106366,0.4961469355160711,47.5,11.032377610360507,499.9114538728305,0.11549284309148788,0.0025656222599215895,4.0,0.503853064483929,1231.1528908794787,2.6,Swarm_5D,456
5,5,0,,100000,,,,53.0,12.46458129125722,500.0000000000002,0.12367159980634719,0.0020315384844151077,,,,4.6,Greedy,456
5,5,0,,100000,,,,99.0,32.17171516320787,485.4420806107895,0.20090857294050632,0.00046410456260945605,,,,0.2,Spiral,456
5,5,0,,100000,,,,100.0,32.45701091812307,498.41379733158414,0.20112372399723896,0.001315990105965835,,,,0.0,Pizza,456
