Config,Comm_range,Evaporation_rate,Ever_explored_penalty,Seed,Victims_pct,Area_km2,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Efficiency_ratio,Agent_prob_gini,Mean_prob_swept,Total_prob_swept,Likelihood,Path_km,Elapsed_s,Scenario,Group,Environment,Climate,Grid,Radius_km
baseline,500.0,0.01,0.0,42,35.5,14.37,0.0378,0.3364,0.413,0.587,0.0419,1561.3777,7806.8884,0.333636,587.93,39.4,1,flat_temperate,flat,temperate,659x660,9.9
E6_comm_2000,2000.0,0.01,0.0,42,32.5,15.95,0.0417,0.376,0.3909,0.6091,0.0602,1460.2391,7301.1955,0.373355,587.96,52.8,1,flat_temperate,flat,temperate,659x660,9.9
E6_comm_5000,5000.0,0.01,0.0,42,40.0,20.43,0.0533,0.4444,0.2155,0.7845,0.1236,1287.6499,6438.2496,0.438944,587.96,93.8,1,flat_temperate,flat,temperate,659x660,9.9
E7_evap_0005,500.0,0.005,0.0,42,30.0,13.68,0.0358,0.3389,0.4397,0.5603,0.0266,1672.0667,8360.3337,0.336787,587.92,29.5,1,flat_temperate,flat,temperate,659x660,9.9
E7_evap_0002,500.0,0.002,0.0,42,34.0,14.84,0.0387,0.3644,0.4182,0.5818,0.0591,1657.8471,8289.2354,0.361634,587.97,28.8,1,flat_temperate,flat,temperate,659x660,9.9
E8_eep_05,500.0,0.01,0.5,42,32.0,14.0,0.0363,0.3357,0.4474,0.5526,0.0502,1640.8954,8204.477,0.334076,587.99,27.8,1,flat_temperate,flat,temperate,659x660,9.9
E8_eep_15,500.0,0.01,1.5,42,31.0,15.06,0.0388,0.3388,0.4444,0.5556,0.0573,1576.8389,7884.1946,0.336517,587.97,27.2,1,flat_temperate,flat,temperate,659x660,9.9
baseline,500.0,0.01,0.0,123,34.5,14.37,0.0378,0.3364,0.413,0.587,0.0419,1561.3902,7806.9509,0.333642,587.93,29.6,1,flat_temperate,flat,temperate,659x660,9.9
E6_comm_2000,2000.0,0.01,0.0,123,37.5,15.95,0.0417,0.376,0.3909,0.6091,0.0602,1460.2391,7301.1955,0.373355,587.96,47.2,1,flat_temperate,flat,temperate,659x660,9.9
E6_comm_5000,5000.0,0.01,0.0,123,44.0,20.43,0.0533,0.4444,0.2155,0.7845,0.1236,1287.6499,6438.2496,0.438944,587.96,85.7,1,flat_temperate,flat,temperate,659x660,9.9
E7_evap_0005,500.0,0.005,0.0,123,34.0,13.68,0.0358,0.3389,0.4397,0.5603,0.0266,1672.0573,8360.2866,0.336783,587.92,28.6,1,flat_temperate,flat,temperate,659x660,9.9
E7_evap_0002,500.0,0.002,0.0,123,40.0,14.84,0.0387,0.3644,0.4182,0.5818,0.0591,1657.8471,8289.2354,0.361634,587.97,29.0,1,flat_temperate,flat,temperate,659x660,9.9
E8_eep_05,500.0,0.01,0.5,123,36.0,14.08,0.0365,0.3338,0.4547,0.5453,0.0603,1662.6093,8313.0464,0.331993,587.97,28.4,1,flat_temperate,flat,temperate,659x660,9.9
E8_eep_15,500.0,0.01,1.5,123,38.0,15.06,0.0388,0.3388,0.4444,0.5556,0.0573,1576.8389,7884.1946,0.336517,587.97,27.1,1,flat_temperate,flat,temperate,659x660,9.9
baseline,500.0,0.01,0.0,42,11.5,6.43,0.017,0.1145,0.2188,0.7812,0.0877,819.1977,4095.9884,0.111655,587.94,45.2,5,flat_temperate,flat,temperate,660x659,9.9
E6_comm_2000,2000.0,0.01,0.0,42,12.0,6.69,0.0177,0.1224,0.2078,0.7922,0.1132,837.4306,4187.1531,0.119479,587.96,60.3,5,flat_temperate,flat,temperate,660x659,9.9
E6_comm_5000,5000.0,0.01,0.0,42,11.5,6.56,0.0173,0.1206,0.2047,0.7953,0.0991,815.4128,4077.0642,0.117642,587.95,67.8,5,flat_temperate,flat,temperate,660x659,9.9
E7_evap_0005,500.0,0.005,0.0,42,11.0,6.4,0.0169,0.1144,0.2275,0.7725,0.0794,830.9534,4154.7672,0.11143,587.98,45.7,5,flat_temperate,flat,temperate,660x659,9.9
E7_evap_0002,500.0,0.002,0.0,42,9.5,6.46,0.0171,0.1158,0.2088,0.7912,0.0994,804.7307,4023.6537,0.113164,587.96,45.9,5,flat_temperate,flat,temperate,660x659,9.9
E8_eep_05,500.0,0.01,0.5,42,11.0,7.03,0.0184,0.1257,0.1885,0.8115,0.0969,833.1468,4165.7339,0.122988,587.94,45.9,5,flat_temperate,flat,temperate,660x659,9.9
E8_eep_15,500.0,0.01,1.5,42,11.5,7.04,0.0184,0.126,0.1878,0.8122,0.0963,833.4218,4167.1092,0.123196,587.94,46.5,5,flat_temperate,flat,temperate,660x659,9.9
baseline,500.0,0.01,0.0,123,13.0,6.61,0.0174,0.1221,0.1934,0.8066,0.1047,812.1408,4060.704,0.119143,587.92,45.6,5,flat_temperate,flat,temperate,660x659,9.9
E6_comm_2000,2000.0,0.01,0.0,123,14.0,6.73,0.0178,0.1254,0.2227,0.7773,0.0969,876.6074,4383.0369,0.122339,587.91,61.7,5,flat_temperate,flat,temperate,660x659,9.9
E6_comm_5000,5000.0,0.01,0.0,123,13.5,6.65,0.0175,0.1232,0.2052,0.7948,0.0649,833.4928,4167.4642,0.12006,587.94,69.2,5,flat_temperate,flat,temperate,660x659,9.9
