Scenario,Group,Environment,Climate,Radius_km,Budget_m,Algorithm,n_agents,Seed,Victims_pct,Area_km2,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Efficiency_ratio,Likelihood,Path_km,Elapsed_s
1,flat_temperate,flat,temperate,9.9,117612.0,Swarm_5D0P,5,42,32.5,15.95,0.0417,0.376,0.3909,0.6091,0.373355,587.96,51.6
1,flat_temperate,flat,temperate,9.9,117612.0,Swarm_3D2P,5,42,37.5,17.73,0.0431,0.3996,0.2043,0.7957,0.403903,583.8,51.3
1,flat_temperate,flat,temperate,9.9,117612.0,Swarm_0D5P,5,42,25.5,11.16,0.0215,0.2729,0.1912,0.8088,0.294775,477.18,174.8
1,flat_temperate,flat,temperate,9.9,117612.0,Swarm_5D0P,5,123,37.5,15.95,0.0417,0.376,0.3909,0.6091,0.373355,587.96,44.9
1,flat_temperate,flat,temperate,9.9,117612.0,Swarm_3D2P,5,123,41.0,17.73,0.0431,0.3996,0.2043,0.7957,0.403903,583.8,45.5
1,flat_temperate,flat,temperate,9.9,117612.0,Swarm_0D5P,5,123,31.5,11.16,0.0215,0.2729,0.1912,0.8088,0.294775,477.18,173.5
1,flat_temperate,flat,temperate,9.9,117612.0,Swarm_5D0P,5,456,33.0,15.95,0.0417,0.376,0.3909,0.6091,0.373355,587.96,48.4
1,flat_temperate,flat,temperate,9.9,117612.0,Swarm_3D2P,5,456,38.0,17.73,0.0431,0.3996,0.2043,0.7957,0.403903,583.8,47.1
1,flat_temperate,flat,temperate,9.9,117612.0,Swarm_0D5P,5,456,27.5,11.16,0.0215,0.2729,0.1912,0.8088,0.294775,477.18,170.6
5,flat_temperate,flat,temperate,9.9,117612.0,Swarm_5D0P,5,42,12.0,6.69,0.0177,0.1224,0.2078,0.7922,0.119479,587.96,61.3
5,flat_temperate,flat,temperate,9.9,117612.0,Swarm_3D2P,5,42,10.0,6.83,0.0151,0.1209,0.178,0.822,0.132104,569.76,57.4
5,flat_temperate,flat,temperate,9.9,117612.0,Swarm_0D5P,5,42,8.5,7.26,0.0118,0.0924,0.3174,0.6826,0.125372,531.79,45.1
5,flat_temperate,flat,temperate,9.9,117612.0,Swarm_5D0P,5,123,14.0,6.73,0.0178,0.1254,0.2227,0.7773,0.122339,587.91,62.4
5,flat_temperate,flat,temperate,9.9,117612.0,Swarm_3D2P,5,123,11.5,6.27,0.0137,0.1072,0.1759,0.8241,0.118956,570.86,56.0
5,flat_temperate,flat,temperate,9.9,117612.0,Swarm_0D5P,5,123,11.0,7.57,0.0125,0.0977,0.2601,0.7399,0.130701,534.61,46.7
5,flat_temperate,flat,temperate,9.9,117612.0,Swarm_5D0P,5,456,12.0,6.69,0.0177,0.1224,0.2078,0.7922,0.119479,587.96,62.5
5,flat_temperate,flat,temperate,9.9,117612.0,Swarm_3D2P,5,456,12.0,6.83,0.0151,0.1209,0.178,0.822,0.132104,569.76,56.4
5,flat_temperate,flat,temperate,9.9,117612.0,Swarm_0D5P,5,456,10.5,7.26,0.0118,0.0924,0.3174,0.6826,0.125372,531.79,45.7
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Swarm_5D0P,5,42,35.0,41.67,0.0322,0.3565,0.448,0.552,0.353833,2009.23,537.4
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Swarm_3D2P,5,42,32.0,33.43,0.024,0.3041,0.3106,0.6894,0.304969,1902.76,494.0
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Swarm_0D5P,5,42,15.0,14.09,0.0052,0.0857,0.151,0.849,0.111923,1940.81,657.7
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Swarm_5D0P,5,123,40.0,44.23,0.0342,0.3741,0.4231,0.5769,0.370906,2009.22,504.1
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Swarm_3D2P,5,123,35.5,31.87,0.0233,0.3019,0.3644,0.6356,0.301407,1819.06,542.4
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Swarm_0D5P,5,123,10.0,11.04,0.0041,0.0687,0.1875,0.8125,0.095262,1917.89,479.0
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Swarm_5D0P,5,456,36.5,53.49,0.0413,0.351,0.323,0.677,0.347726,2009.22,457.1
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Swarm_3D2P,5,456,35.5,34.85,0.0249,0.3119,0.3736,0.6264,0.31305,1845.66,553.6
