Victims_pct,Area_km2,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Efficiency_ratio,Agent_prob_gini,Mean_prob_swept,Total_prob_swept,Likelihood,Path_km,Elapsed_s,Phase,Config,Max_hops,Kill_fraction,Seed,Scenario,Group,Environment,Climate,Grid,Radius_km
23.5,10.39,0.0273,0.2496,0.5185,0.4815,0.05,1614.517,8072.5849,0.247975,587.96,42.6,E3,hops_0,0,0.0,42,1,flat_temperate,flat,temperate,659x660,9.9
32.5,15.95,0.0417,0.376,0.3909,0.6091,0.0602,1460.2391,7301.1955,0.373355,587.96,50.9,E3,hops_1,1,0.0,42,1,flat_temperate,flat,temperate,659x660,9.9
37.5,18.9,0.0494,0.4282,0.2759,0.7241,0.0653,1419.1303,7095.6517,0.423898,587.96,52.0,E3,hops_3,3,0.0,42,1,flat_temperate,flat,temperate,659x660,9.9
37.5,18.9,0.0494,0.4282,0.2759,0.7241,0.0653,1419.1303,7095.6517,0.423898,587.96,52.0,E3,hops_inf,999,0.0,42,1,flat_temperate,flat,temperate,659x660,9.9
26.0,10.39,0.0273,0.2496,0.5185,0.4815,0.05,1614.5163,8072.5817,0.247969,587.96,43.9,E3,hops_0,0,0.0,123,1,flat_temperate,flat,temperate,659x660,9.9
37.5,15.95,0.0417,0.376,0.3909,0.6091,0.0602,1460.2391,7301.1955,0.373355,587.96,53.3,E3,hops_1,1,0.0,123,1,flat_temperate,flat,temperate,659x660,9.9
41.0,18.9,0.0494,0.4282,0.2759,0.7241,0.0653,1419.1303,7095.6517,0.423898,587.96,54.2,E3,hops_3,3,0.0,123,1,flat_temperate,flat,temperate,659x660,9.9
41.0,18.9,0.0494,0.4282,0.2759,0.7241,0.0653,1419.1303,7095.6517,0.423898,587.96,51.1,E3,hops_inf,999,0.0,123,1,flat_temperate,flat,temperate,659x660,9.9
6.0,4.96,0.0132,0.0789,0.243,0.757,0.0253,639.6255,3198.1276,0.076314,587.9,48.4,E3,hops_0,0,0.0,42,5,flat_temperate,flat,temperate,660x659,9.9
12.0,6.69,0.0177,0.1224,0.2078,0.7922,0.1132,837.4306,4187.1531,0.119479,587.96,63.5,E3,hops_1,1,0.0,42,5,flat_temperate,flat,temperate,660x659,9.9
