Victims_pct,Area_km2,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Efficiency_ratio,Agent_prob_gini,Mean_prob_swept,Total_prob_swept,Likelihood,Path_km,Elapsed_s,Phase,Config,Max_hops,Kill_fraction,Kill_at_step,N_agents_killed,Steps_completed,Seed,Scenario,Group,Environment,Climate,Grid,Radius_km
32.5,15.95,0.0417,0.376,0.3909,0.6091,0.0602,1460.2391,7301.1955,0.373355,587.96,54.9,E5,kill_00,1,0.0,2000,0,3107,42,1,flat_temperate,flat,temperate,659x660,9.9
35.0,16.55,0.0431,0.3907,0.3173,0.6827,0.1075,1364.82,6824.1002,0.387344,545.74,51.3,E5,kill_20,1,0.2,2000,1,3100,42,1,flat_temperate,flat,temperate,659x660,9.9
33.0,15.36,0.04,0.3765,0.3239,0.6761,0.0735,1347.6899,6738.4496,0.373787,512.12,53.9,E5,kill_40,1,0.4,2000,2,3119,42,1,flat_temperate,flat,temperate,659x660,9.9
31.0,14.45,0.0375,0.3625,0.295,0.705,0.1272,1228.5222,6142.611,0.359616,466.98,46.1,E5,kill_60,1,0.6,2000,3,2870,42,1,flat_temperate,flat,temperate,659x660,9.9
37.5,15.95,0.0417,0.376,0.3909,0.6091,0.0602,1460.2391,7301.1955,0.373355,587.96,54.1,E5,kill_00,1,0.0,2000,0,3107,123,1,flat_temperate,flat,temperate,659x660,9.9
38.5,16.55,0.0431,0.3907,0.3173,0.6827,0.1075,1364.82,6824.1002,0.387344,545.74,52.2,E5,kill_20,1,0.2,2000,1,3100,123,1,flat_temperate,flat,temperate,659x660,9.9
38.0,15.36,0.04,0.3765,0.3239,0.6761,0.0735,1347.6899,6738.4496,0.373787,512.12,50.9,E5,kill_40,1,0.4,2000,2,3119,123,1,flat_temperate,flat,temperate,659x660,9.9
36.0,14.45,0.0375,0.3625,0.295,0.705,0.1272,1228.5222,6142.611,0.359616,466.98,39.6,E5,kill_60,1,0.6,2000,3,2870,123,1,flat_temperate,flat,temperate,659x660,9.9
12.0,6.69,0.0177,0.1224,0.2078,0.7922,0.1132,837.4306,4187.1531,0.119479,587.96,61.9,E5,kill_00,1,0.0,2000,0,3721,42,5,flat_temperate,flat,temperate,660x659,9.9
11.5,6.31,0.0165,0.1159,0.1984,0.8016,0.1793,775.5232,3877.6159,0.11284,534.52,60.4,E5,kill_20,1,0.2,2000,1,3717,42,5,flat_temperate,flat,temperate,660x659,9.9
11.0,5.79,0.0151,0.1074,0.1672,0.8328,0.2021,666.446,3332.23,0.104334,480.29,55.0,E5,kill_40,1,0.4,2000,2,3704,42,5,flat_temperate,flat,temperate,660x659,9.9
9.5,5.48,0.0142,0.1038,0.1558,0.8442,0.2217,628.9664,3144.8319,0.100841,425.88,53.0,E5,kill_60,1,0.6,2000,3,3710,42,5,flat_temperate,flat,temperate,660x659,9.9
14.0,6.73,0.0178,0.1254,0.2227,0.7773,0.0969,876.6074,4383.0369,0.122339,587.91,65.3,E5,kill_00,1,0.0,2000,0,3707,123,5,flat_temperate,flat,temperate,660x659,9.9
15.0,6.37,0.0167,0.1181,0.187,0.813,0.1407,771.2878,3856.439,0.115217,534.69,57.9,E5,kill_20,1,0.2,2000,1,3725,123,5,flat_temperate,flat,temperate,660x659,9.9
13.5,5.92,0.0155,0.1116,0.167,0.833,0.1891,692.708,3463.5402,0.108516,480.25,53.5,E5,kill_40,1,0.4,2000,2,3724,123,5,flat_temperate,flat,temperate,660x659,9.9
12.0,5.55,0.0144,0.107,0.1535,0.8465,0.226,640.6525,3203.2627,0.104076,425.91,50.9,E5,kill_60,1,0.6,2000,3,3706,123,5,flat_temperate,flat,temperate,660x659,9.9
35.0,41.67,0.0322,0.3565,0.448,0.552,0.0268,3183.4889,15917.4445,0.353833,2009.23,535.9,E5,kill_00,1,0.0,2000,0,11004,42,16,mountain_temperate,mountainous,temperate,1219x1220,18.3
34.0,39.98,0.0308,0.3542,0.3794,0.6206,0.1783,2629.3918,13146.9592,0.350503,1680.16,487.6,E5,kill_20,1,0.2,2000,1,10729,42,16,mountain_temperate,mountainous,temperate,1219x1220,18.3
31.5,35.42,0.0274,0.3174,0.3108,0.6892,0.2813,2121.262,10606.3098,0.31357,1350.3,493.8,E5,kill_40,1,0.4,2000,2,10807,42,16,mountain_temperate,mountainous,temperate,1219x1220,18.3
28.0,29.96,0.0232,0.2855,0.2176,0.7824,0.3499,1629.3785,8146.8927,0.281298,1026.97,473.7,E5,kill_60,1,0.6,2000,3,10944,42,16,mountain_temperate,mountainous,temperate,1219x1220,18.3
40.0,44.23,0.0342,0.3741,0.4231,0.5769,0.049,3086.1274,15430.6372,0.370906,2009.22,539.4,E5,kill_00,1,0.0,2000,0,10905,123,16,mountain_temperate,mountainous,temperate,1219x1220,18.3
40.0,44.3,0.0342,0.371,0.3428,0.6572,0.1935,2550.6869,12753.4345,0.367133,1680.5,489.2,E5,kill_20,1,0.2,2000,1,10620,123,16,mountain_temperate,mountainous,temperate,1219x1220,18.3
36.5,32.88,0.0252,0.3208,0.3446,0.6554,0.2607,2200.2821,11001.4103,0.317164,1353.13,461.6,E5,kill_40,1,0.4,2000,2,10778,123,16,mountain_temperate,mountainous,temperate,1219x1220,18.3
26.5,27.01,0.0209,0.2744,0.2807,0.7193,0.3483,1715.8,8579.0002,0.270853,1028.62,464.4,E5,kill_60,1,0.6,2000,3,10878,123,16,mountain_temperate,mountainous,temperate,1219x1220,18.3
32.5,56.33,0.043,0.3461,0.3789,0.6211,0.0491,3756.7518,18783.7588,0.343425,2009.25,543.9,E5,kill_00,1,0.0,2000,0,10229,42,20,mountain_temperate,mountainous,temperate,1219x1220,18.3
30.5,48.56,0.0372,0.3215,0.3761,0.6239,0.2062,3409.6911,17048.4556,0.318813,1688.89,519.1,E5,kill_20,1,0.2,2000,1,10145,42,20,mountain_temperate,mountainous,temperate,1219x1220,18.3
24.0,37.58,0.0287,0.2762,0.3894,0.6106,0.3141,2951.1365,14755.6824,0.274211,1366.88,447.2,E5,kill_40,1,0.4,2000,2,10073,42,20,mountain_temperate,mountainous,temperate,1219x1220,18.3
22.5,33.56,0.0256,0.2516,0.2993,0.7007,0.3888,2266.1068,11330.5338,0.2492,1044.63,422.9,E5,kill_60,1,0.6,2000,3,10032,42,20,mountain_temperate,mountainous,temperate,1219x1220,18.3
31.0,56.33,0.043,0.3461,0.3789,0.6211,0.0491,3756.7673,18783.8366,0.343428,2009.25,532.7,E5,kill_00,1,0.0,2000,0,10229,123,20,mountain_temperate,mountainous,temperate,1219x1220,18.3
31.0,48.56,0.0372,0.3215,0.3761,0.6239,0.2062,3409.6939,17048.4697,0.318813,1688.89,523.3,E5,kill_20,1,0.2,2000,1,10145,123,20,mountain_temperate,mountainous,temperate,1219x1220,18.3
24.0,37.58,0.0287,0.2762,0.3894,0.6106,0.3141,2951.1331,14755.6657,0.274211,1366.88,447.5,E5,kill_40,1,0.4,2000,2,10073,123,20,mountain_temperate,mountainous,temperate,1219x1220,18.3
