Scenario,Group,Environment,Climate,Grid,Radius_km,Budget_m,Algorithm,Seed,n_agents,Victims_pct,Area_km2,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Efficiency_ratio,Likelihood,Path_km,Elapsed_s
1,flat_temperate,flat,temperate,659x660,9.9,117612.0,Swarm_5D0P,42,5,26.5,11.84,0.0311,0.2954,0.4895,0.5105,0.293253,587.93,8.1
1,flat_temperate,flat,temperate,659x660,9.9,117612.0,Swarm_5D0P,123,5,33.0,12.89,0.0337,0.323,0.4713,0.5287,0.32024,587.99,7.2
1,flat_temperate,flat,temperate,659x660,9.9,117612.0,Swarm_5D0P,456,5,29.5,13.87,0.0362,0.3332,0.4414,0.5586,0.33081,588.0,7.7
2,flat_temperate,flat,temperate,660x660,9.9,117612.0,Swarm_5D0P,42,5,19.5,13.5,0.0354,0.2433,0.466,0.534,0.240913,587.98,7.3
2,flat_temperate,flat,temperate,660x660,9.9,117612.0,Swarm_5D0P,123,5,26.5,13.59,0.0354,0.2475,0.4566,0.5434,0.245225,587.99,7.3
2,flat_temperate,flat,temperate,660x660,9.9,117612.0,Swarm_5D0P,456,5,20.0,12.61,0.0329,0.2318,0.5116,0.4884,0.229895,587.97,7.7
3,flat_temperate,flat,temperate,660x660,9.9,117612.0,Swarm_5D0P,42,5,20.0,10.42,0.0273,0.205,0.3598,0.6402,0.202107,587.97,11.4
3,flat_temperate,flat,temperate,660x660,9.9,117612.0,Swarm_5D0P,123,5,19.5,10.43,0.0272,0.1987,0.3677,0.6323,0.195592,587.91,9.7
3,flat_temperate,flat,temperate,660x660,9.9,117612.0,Swarm_5D0P,456,5,24.0,10.11,0.0265,0.1946,0.377,0.623,0.19174,587.95,9.6
4,flat_temperate,flat,temperate,660x659,9.9,117612.0,Swarm_5D0P,42,5,1.0,5.16,0.0138,0.0896,0.2226,0.7774,0.087135,587.94,8.8
4,flat_temperate,flat,temperate,660x659,9.9,117612.0,Swarm_5D0P,123,5,3.0,5.16,0.0138,0.0896,0.2226,0.7774,0.087135,587.94,11.9
4,flat_temperate,flat,temperate,660x659,9.9,117612.0,Swarm_5D0P,456,5,3.5,5.16,0.0138,0.0896,0.2226,0.7774,0.087135,587.94,14.9
5,flat_temperate,flat,temperate,660x659,9.9,117612.0,Swarm_5D0P,42,5,11.5,6.64,0.0176,0.1202,0.1937,0.8063,0.117151,587.99,16.5
5,flat_temperate,flat,temperate,660x659,9.9,117612.0,Swarm_5D0P,123,5,12.5,6.68,0.0176,0.12,0.2035,0.7965,0.117233,587.9,10.6
5,flat_temperate,flat,temperate,660x659,9.9,117612.0,Swarm_5D0P,456,5,12.5,6.64,0.0175,0.1231,0.2108,0.7892,0.119822,587.93,11.6
6,flat_temperate,flat,temperate,659x660,9.9,117612.0,Swarm_5D0P,42,5,1.0,4.81,0.013,0.0849,0.2667,0.7333,0.082724,588.0,16.8
6,flat_temperate,flat,temperate,659x660,9.9,117612.0,Swarm_5D0P,123,5,1.5,4.81,0.013,0.0849,0.2667,0.7333,0.082737,588.0,8.1
6,flat_temperate,flat,temperate,659x660,9.9,117612.0,Swarm_5D0P,456,5,1.0,4.81,0.013,0.0849,0.2667,0.7333,0.082731,588.0,9.4
7,flat_temperate,flat,temperate,660x660,9.9,117612.0,Swarm_5D0P,42,5,9.5,15.16,0.0406,0.2579,0.4747,0.5253,0.254447,587.92,8.2
7,flat_temperate,flat,temperate,660x660,9.9,117612.0,Swarm_5D0P,123,5,6.5,14.71,0.0389,0.2525,0.4905,0.5095,0.249434,587.97,8.6
7,flat_temperate,flat,temperate,660x660,9.9,117612.0,Swarm_5D0P,456,5,11.5,13.98,0.0372,0.2409,0.5045,0.4955,0.237979,587.93,9.4
8,flat_temperate,flat,temperate,660x660,9.9,117612.0,Swarm_5D0P,42,5,19.5,11.95,0.031,0.2112,0.476,0.524,0.208667,587.95,14.1
8,flat_temperate,flat,temperate,660x660,9.9,117612.0,Swarm_5D0P,123,5,23.5,13.57,0.0354,0.2313,0.4059,0.5941,0.228308,587.98,13.4
8,flat_temperate,flat,temperate,660x660,9.9,117612.0,Swarm_5D0P,456,5,22.0,12.28,0.0319,0.2181,0.4514,0.5486,0.215414,587.93,12.6
9,flat_temperate,flat,temperate,659x660,9.9,117612.0,Swarm_5D0P,42,5,10.5,13.56,0.0353,0.2553,0.466,0.534,0.252762,587.93,7.8
9,flat_temperate,flat,temperate,659x660,9.9,117612.0,Swarm_5D0P,123,5,11.0,13.64,0.036,0.2542,0.4672,0.5328,0.251365,588.03,8.0
9,flat_temperate,flat,temperate,659x660,9.9,117612.0,Swarm_5D0P,456,5,10.0,12.82,0.0335,0.252,0.4934,0.5066,0.249492,587.99,8.5
10,flat_temperate,flat,temperate,659x659,9.9,117612.0,Swarm_5D0P,42,5,24.5,14.53,0.0392,0.2513,0.1322,0.8678,0.245914,587.98,7.1
10,flat_temperate,flat,temperate,659x659,9.9,117612.0,Swarm_5D0P,123,5,28.0,18.24,0.0487,0.2812,0.1295,0.8705,0.274812,587.97,6.1
10,flat_temperate,flat,temperate,659x659,9.9,117612.0,Swarm_5D0P,456,5,25.0,14.52,0.0392,0.2514,0.1322,0.8678,0.246048,587.95,7.3
11,flat_temperate,flat,temperate,660x660,9.9,117612.0,Swarm_5D0P,42,5,17.5,10.43,0.0271,0.2775,0.4593,0.5407,0.274814,588.0,8.2
11,flat_temperate,flat,temperate,660x660,9.9,117612.0,Swarm_5D0P,123,5,18.0,10.56,0.0276,0.2848,0.4359,0.5641,0.282102,588.01,8.2
11,flat_temperate,flat,temperate,660x660,9.9,117612.0,Swarm_5D0P,456,5,21.5,10.72,0.0279,0.2807,0.4604,0.5396,0.278116,587.98,8.1
