Scenario,Group,Environment,Climate,Grid,Radius_km,Budget_m,Algorithm,Seed,n_agents,Victims_pct,Area_km2,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Efficiency_ratio,Likelihood,Path_km,Elapsed_s
1,flat_temperate,flat,temperate,659x660,9.9,117612.0,Swarm_3D2P,42,5,28.5,12.3,0.0296,0.2982,0.4166,0.5834,0.303494,589.77,6.4
1,flat_temperate,flat,temperate,659x660,9.9,117612.0,Swarm_3D2P,123,5,29.0,11.49,0.0275,0.2762,0.4508,0.5492,0.280501,590.32,6.3
1,flat_temperate,flat,temperate,659x660,9.9,117612.0,Swarm_3D2P,456,5,21.5,10.7,0.0254,0.2511,0.4659,0.5341,0.255897,591.15,6.2
2,flat_temperate,flat,temperate,660x660,9.9,117612.0,Swarm_3D2P,42,5,16.5,10.87,0.0265,0.2013,0.432,0.568,0.205239,577.49,7.3
2,flat_temperate,flat,temperate,660x660,9.9,117612.0,Swarm_3D2P,123,5,23.5,10.93,0.0261,0.2029,0.4424,0.5576,0.208139,575.07,6.8
2,flat_temperate,flat,temperate,660x660,9.9,117612.0,Swarm_3D2P,456,5,17.0,9.9,0.0239,0.1891,0.4559,0.5441,0.193426,581.26,7.9
3,flat_temperate,flat,temperate,660x660,9.9,117612.0,Swarm_3D2P,42,5,17.5,8.73,0.0199,0.1552,0.3234,0.6766,0.165376,567.23,8.8
3,flat_temperate,flat,temperate,660x660,9.9,117612.0,Swarm_3D2P,123,5,18.5,8.81,0.0201,0.1567,0.3357,0.6643,0.168683,555.7,8.6
3,flat_temperate,flat,temperate,660x660,9.9,117612.0,Swarm_3D2P,456,5,20.5,8.93,0.0202,0.1562,0.2766,0.7234,0.168041,567.85,9.4
4,flat_temperate,flat,temperate,660x659,9.9,117612.0,Swarm_3D2P,42,5,2.0,5.72,0.0127,0.0922,0.1913,0.8087,0.103733,585.23,7.5
4,flat_temperate,flat,temperate,660x659,9.9,117612.0,Swarm_3D2P,123,5,2.0,5.72,0.0127,0.0921,0.1914,0.8086,0.103686,585.24,7.2
4,flat_temperate,flat,temperate,660x659,9.9,117612.0,Swarm_3D2P,456,5,3.0,5.72,0.0127,0.0921,0.1914,0.8086,0.103641,585.26,7.1
5,flat_temperate,flat,temperate,660x659,9.9,117612.0,Swarm_3D2P,42,5,8.5,7.12,0.0152,0.114,0.1614,0.8386,0.128405,570.43,8.1
5,flat_temperate,flat,temperate,660x659,9.9,117612.0,Swarm_3D2P,123,5,11.0,7.29,0.0156,0.1184,0.1212,0.8788,0.132905,570.42,8.5
5,flat_temperate,flat,temperate,660x659,9.9,117612.0,Swarm_3D2P,456,5,10.5,7.14,0.0153,0.1156,0.1727,0.8273,0.129938,570.46,8.6
6,flat_temperate,flat,temperate,659x660,9.9,117612.0,Swarm_3D2P,42,5,1.5,5.27,0.0115,0.0848,0.2309,0.7691,0.094732,587.14,6.2
6,flat_temperate,flat,temperate,659x660,9.9,117612.0,Swarm_3D2P,123,5,2.0,5.27,0.0115,0.0848,0.2309,0.7691,0.094739,587.14,6.1
6,flat_temperate,flat,temperate,659x660,9.9,117612.0,Swarm_3D2P,456,5,2.5,5.27,0.0115,0.0848,0.2309,0.7691,0.094733,587.14,6.0
7,flat_temperate,flat,temperate,660x660,9.9,117612.0,Swarm_3D2P,42,5,9.5,14.36,0.0334,0.2163,0.3678,0.6322,0.220894,509.91,6.2
7,flat_temperate,flat,temperate,660x660,9.9,117612.0,Swarm_3D2P,123,5,9.5,13.75,0.0318,0.2058,0.3895,0.6105,0.210472,509.92,5.9
7,flat_temperate,flat,temperate,660x660,9.9,117612.0,Swarm_3D2P,456,5,11.0,14.88,0.035,0.2222,0.3287,0.6713,0.226415,509.9,6.1
8,flat_temperate,flat,temperate,660x660,9.9,117612.0,Swarm_3D2P,42,5,14.5,8.6,0.0218,0.1597,0.3317,0.6683,0.158166,563.82,9.8
8,flat_temperate,flat,temperate,660x660,9.9,117612.0,Swarm_3D2P,123,5,15.5,9.33,0.0237,0.1697,0.303,0.697,0.167798,563.79,10.1
8,flat_temperate,flat,temperate,660x660,9.9,117612.0,Swarm_3D2P,456,5,17.5,8.49,0.0215,0.1533,0.3618,0.6382,0.151513,563.8,10.0
9,flat_temperate,flat,temperate,659x660,9.9,117612.0,Swarm_3D2P,42,5,9.0,10.88,0.0257,0.2134,0.4485,0.5515,0.219563,523.21,6.4
9,flat_temperate,flat,temperate,659x660,9.9,117612.0,Swarm_3D2P,123,5,8.0,10.97,0.0259,0.2107,0.4599,0.5401,0.218565,515.93,6.3
9,flat_temperate,flat,temperate,659x660,9.9,117612.0,Swarm_3D2P,456,5,9.0,10.36,0.0244,0.2025,0.4845,0.5155,0.210183,518.52,6.3
10,flat_temperate,flat,temperate,659x659,9.9,117612.0,Swarm_3D2P,42,5,22.0,13.09,0.0289,0.2188,0.1062,0.8938,0.239066,607.83,6.3
10,flat_temperate,flat,temperate,659x659,9.9,117612.0,Swarm_3D2P,123,5,22.5,12.56,0.0289,0.2153,0.1045,0.8955,0.231109,594.31,6.3
10,flat_temperate,flat,temperate,659x659,9.9,117612.0,Swarm_3D2P,456,5,29.5,13.05,0.0289,0.2184,0.1098,0.8902,0.238892,607.62,6.1
11,flat_temperate,flat,temperate,660x660,9.9,117612.0,Swarm_3D2P,42,5,14.5,8.43,0.0208,0.229,0.4029,0.5971,0.232796,458.28,14.2
11,flat_temperate,flat,temperate,660x660,9.9,117612.0,Swarm_3D2P,123,5,12.5,7.58,0.0186,0.2046,0.4012,0.5988,0.209151,455.64,14.0
11,flat_temperate,flat,temperate,660x660,9.9,117612.0,Swarm_3D2P,456,5,15.5,7.57,0.0181,0.2034,0.4145,0.5855,0.211897,457.75,13.6
12,flat_temperate,flat,temperate,659x660,9.9,117612.0,Swarm_3D2P,42,5,31.5,10.79,0.026,0.2798,0.4828,0.5172,0.28751,618.42,9.5
12,flat_temperate,flat,temperate,659x660,9.9,117612.0,Swarm_3D2P,123,5,30.0,11.45,0.0276,0.2991,0.4696,0.5304,0.305127,622.77,9.9
12,flat_temperate,flat,temperate,659x660,9.9,117612.0,Swarm_3D2P,456,5,31.5,11.29,0.0271,0.2878,0.455,0.545,0.29647,629.98,10.4
13,flat_temperate,flat,temperate,659x660,9.9,117612.0,Swarm_3D2P,42,5,11.5,7.14,0.0156,0.1316,0.2597,0.7403,0.1398,581.53,6.2
13,flat_temperate,flat,temperate,659x660,9.9,117612.0,Swarm_3D2P,123,5,13.0,6.7,0.0142,0.114,0.2942,0.7058,0.126803,581.54,6.2
13,flat_temperate,flat,temperate,659x660,9.9,117612.0,Swarm_3D2P,456,5,13.0,6.58,0.014,0.1135,0.3282,0.6718,0.126838,579.54,6.1
14,flat_temperate,flat,temperate,660x660,9.9,117612.0,Swarm_3D2P,42,5,28.5,12.24,0.0288,0.3417,0.3216,0.6784,0.343234,543.34,7.0
14,flat_temperate,flat,temperate,660x660,9.9,117612.0,Swarm_3D2P,123,5,27.5,10.48,0.024,0.2795,0.4419,0.5581,0.281734,549.9,9.6
14,flat_temperate,flat,temperate,660x660,9.9,117612.0,Swarm_3D2P,456,5,28.5,10.51,0.0242,0.2929,0.4617,0.5383,0.29698,560.58,9.1
15,flat_temperate,flat,temperate,660x660,9.9,117612.0,Swarm_3D2P,42,5,19.5,6.96,0.0146,0.1945,0.2168,0.7832,0.209908,545.65,8.8
15,flat_temperate,flat,temperate,660x660,9.9,117612.0,Swarm_3D2P,123,5,15.0,8.26,0.0178,0.1954,0.1562,0.8438,0.215308,543.42,116.1
15,flat_temperate,flat,temperate,660x660,9.9,117612.0,Swarm_3D2P,456,5,14.0,7.17,0.0153,0.2123,0.2629,0.7371,0.228212,540.18,9.5
16,mountain_temperate,mountainous,temperate,1219x1220,18.3,401868.00000000006,Swarm_3D2P,42,5,24.0,26.5,0.0192,0.2574,0.393,0.607,0.259432,1886.74,70.5
16,mountain_temperate,mountainous,temperate,1219x1220,18.3,401868.00000000006,Swarm_3D2P,123,5,28.5,27.95,0.0204,0.2615,0.3179,0.6821,0.261797,2070.1,74.9
16,mountain_temperate,mountainous,temperate,1219x1220,18.3,401868.00000000006,Swarm_3D2P,456,5,26.0,25.92,0.0191,0.2543,0.3964,0.6036,0.254895,2039.68,76.2
17,mountain_temperate,mountainous,temperate,1220x1219,18.3,401868.00000000006,Swarm_3D2P,42,5,12.5,23.71,0.0166,0.1812,0.3678,0.6322,0.1863,2036.84,92.6
17,mountain_temperate,mountainous,temperate,1220x1219,18.3,401868.00000000006,Swarm_3D2P,123,5,12.0,19.75,0.0137,0.1511,0.4214,0.5786,0.156994,2002.53,122.2
17,mountain_temperate,mountainous,temperate,1220x1219,18.3,401868.00000000006,Swarm_3D2P,456,5,7.5,20.31,0.014,0.1536,0.41,0.59,0.159754,1987.62,91.1
18,mountain_temperate,mountainous,temperate,1219x1220,18.3,401868.00000000006,Swarm_3D2P,42,5,24.5,35.46,0.0258,0.2517,0.3754,0.6246,0.252986,2197.65,83.1
18,mountain_temperate,mountainous,temperate,1219x1220,18.3,401868.00000000006,Swarm_3D2P,123,5,23.0,34.29,0.025,0.2438,0.3977,0.6023,0.244849,2044.15,82.7
18,mountain_temperate,mountainous,temperate,1219x1220,18.3,401868.00000000006,Swarm_3D2P,456,5,22.5,33.7,0.0245,0.2331,0.4206,0.5794,0.234454,2034.87,81.8
19,mountain_temperate,mountainous,temperate,1219x1219,18.3,401868.00000000006,Swarm_3D2P,42,5,17.0,20.94,0.0148,0.1587,0.2648,0.7352,0.162143,2000.26,90.0
19,mountain_temperate,mountainous,temperate,1219x1219,18.3,401868.00000000006,Swarm_3D2P,123,5,18.5,19.53,0.0139,0.1521,0.277,0.723,0.155448,1975.52,100.0
19,mountain_temperate,mountainous,temperate,1219x1219,18.3,401868.00000000006,Swarm_3D2P,456,5,17.5,21.04,0.015,0.1527,0.2508,0.7492,0.155488,1946.09,97.0
20,mountain_temperate,mountainous,temperate,1219x1220,18.3,401868.00000000006,Swarm_3D2P,42,5,21.0,36.11,0.0263,0.2447,0.4209,0.5791,0.24655,1788.49,103.8
20,mountain_temperate,mountainous,temperate,1219x1220,18.3,401868.00000000006,Swarm_3D2P,123,5,23.0,36.17,0.0265,0.2497,0.3936,0.6064,0.250058,1794.76,107.2
20,mountain_temperate,mountainous,temperate,1219x1220,18.3,401868.00000000006,Swarm_3D2P,456,5,25.5,36.42,0.0266,0.247,0.4116,0.5884,0.247858,1788.52,75.6
21,mountain_temperate,mountainous,temperate,1220x1220,18.3,401868.00000000006,Swarm_3D2P,42,5,18.5,24.79,0.0175,0.2007,0.4218,0.5782,0.203117,2033.62,140.8
21,mountain_temperate,mountainous,temperate,1220x1220,18.3,401868.00000000006,Swarm_3D2P,123,5,28.0,24.77,0.0175,0.2142,0.428,0.572,0.2165,1942.51,144.3
21,mountain_temperate,mountainous,temperate,1220x1220,18.3,401868.00000000006,Swarm_3D2P,456,5,21.5,25.33,0.0179,0.2068,0.425,0.575,0.209404,1938.67,142.9
22,mountain_temperate,mountainous,temperate,1220x1220,18.3,401868.00000000006,Swarm_3D2P,42,5,16.5,24.6,0.0171,0.1611,0.3345,0.6655,0.167649,1636.21,105.9
22,mountain_temperate,mountainous,temperate,1220x1220,18.3,401868.00000000006,Swarm_3D2P,123,5,12.0,21.85,0.0154,0.1315,0.314,0.686,0.134059,1781.17,99.3
22,mountain_temperate,mountainous,temperate,1220x1220,18.3,401868.00000000006,Swarm_3D2P,456,5,11.5,26.66,0.0192,0.1622,0.2744,0.7256,0.16387,1636.29,100.8
