tick,agent_id,row,col,active,budget
1,drone_0,642,1037,1,446945.6
1,drone_1,984,838,1,446945.6
1,dog_0,982,448,1,446924.3
1,dog_1,642,251,1,446945.6
1,dog_2,304,447,1,446973.0
1,dog_3,304,839,1,446964.0
2,drone_0,641,1036,1,446903.1
2,drone_1,985,839,1,446903.1
2,dog_0,981,448,1,446879.3
2,dog_1,643,252,1,446924.3
2,dog_2,305,448,1,446951.8
2,dog_3,305,838,1,446930.0
3,drone_0,640,1035,1,446860.7
3,drone_1,986,840,1,446860.7
3,dog_0,980,447,1,446815.6
3,dog_1,644,253,1,446903.1
3,dog_2,306,449,1,446930.5
3,dog_3,306,837,1,446887.6
4,drone_0,639,1034,1,446818.2
4,drone_1,987,839,1,446818.2
4,dog_0,979,447,1,446770.6
4,dog_1,645,254,1,446881.9
4,dog_2,306,450,1,446915.5
4,dog_3,306,836,1,446857.6
5,drone_0,638,1033,1,446775.8
5,drone_1,988,838,1,446775.8
5,dog_0,978,447,1,446740.6
5,dog_1,646,255,1,446860.7
5,dog_2,307,451,1,446894.3
5,dog_3,306,835,1,446842.6
6,drone_0,637,1034,1,446733.3
6,drone_1,987,837,1,446733.3
6,dog_0,977,446,1,446676.9
6,dog_1,647,255,1,446845.6
6,dog_2,307,452,1,446879.3
6,dog_3,307,834,1,446800.1
7,drone_0,636,1035,1,446690.9
7,drone_1,988,836,1,446690.9
7,dog_0,976,445,1,446613.2
7,dog_1,648,255,1,446830.6
7,dog_2,307,453,1,446849.3
7,dog_3,307,833,1,446764.1
8,drone_0,635,1034,1,446648.4
8,drone_1,989,835,1,446648.4
8,dog_0,975,444,1,446549.6
8,dog_1,649,256,1,446809.4
8,dog_2,308,454,1,446806.8
8,dog_3,308,832,1,446713.2
9,drone_0,634,1033,1,446606.0
9,drone_1,988,834,1,446606.0
9,dog_0,974,445,1,446485.9
9,dog_1,649,257,1,446794.4
9,dog_2,309,455,1,446764.4
9,dog_3,308,831,1,446683.1
10,drone_0,633,1032,1,446563.5
10,drone_1,989,833,1,446563.5
10,dog_0,973,444,1,446422.2
10,dog_1,650,258,1,446752.0
10,dog_2,310,454,1,446743.2
10,dog_3,309,830,1,446640.7
11,drone_0,632,1031,1,446521.1
11,drone_1,988,832,1,446521.1
11,dog_0,972,443,1,446358.6
11,dog_1,650,259,1,446721.9
11,dog_2,311,454,1,446728.2
11,dog_3,309,829,1,446616.7
12,drone_0,631,1030,1,446478.6
12,drone_1,989,831,1,446478.6
12,dog_0,971,442,1,446294.9
12,dog_1,651,260,1,446679.5
12,dog_2,312,454,1,446713.2
12,dog_3,310,828,1,446574.2
13,drone_0,632,1029,1,446436.2
13,drone_1,988,830,1,446436.2
13,dog_0,970,441,1,446231.2
13,dog_1,651,261,1,446664.5
13,dog_2,313,454,1,446683.1
13,dog_3,310,827,1,446550.2
14,drone_0,631,1028,1,446393.7
14,drone_1,989,829,1,446393.7
14,dog_0,969,441,1,446186.2
14,dog_1,651,262,1,446649.5
14,dog_2,314,454,1,446653.1
14,dog_3,311,826,1,446529.0
15,drone_0,630,1027,1,446351.3
15,drone_1,990,828,1,446351.3
15,dog_0,968,441,1,446141.2
15,dog_1,652,263,1,446607.0
15,dog_2,315,453,1,446631.9
15,dog_3,311,825,1,446505.0
16,drone_0,629,1026,1,446308.8
16,drone_1,989,827,1,446308.8
16,dog_0,967,440,1,446077.5
16,dog_1,651,264,1,446585.8
16,dog_2,316,453,1,446601.9
16,dog_3,312,824,1,446462.5
17,drone_0,628,1025,1,446266.4
17,drone_1,990,826,1,446266.4
17,dog_0,966,439,1,446013.8
17,dog_1,650,265,1,446534.9
17,dog_2,317,452,1,446580.7
17,dog_3,312,823,1,446438.5
18,drone_0,627,1024,1,446223.9
18,drone_1,989,825,1,446223.9
18,dog_0,965,438,1,445950.1
18,dog_1,650,266,1,446519.9
18,dog_2,318,452,1,446550.6
18,dog_3,313,822,1,446396.1
19,drone_0,626,1023,1,446181.5
19,drone_1,988,824,1,446181.5
19,dog_0,964,438,1,445905.1
19,dog_1,649,267,1,446468.9
19,dog_2,319,451,1,446529.4
19,dog_3,313,821,1,446372.1
20,drone_0,626,1024,1,446151.5
20,drone_1,987,823,1,446139.0
20,dog_0,963,439,1,445841.5
20,dog_1,648,268,1,446447.7
20,dog_2,320,451,1,446499.4
20,dog_3,314,820,1,446329.6
21,drone_0,625,1023,1,446109.0
21,drone_1,986,824,1,446096.6
21,dog_0,962,440,1,445777.8
21,dog_1,648,269,1,446432.7
21,dog_2,321,450,1,446457.0
21,dog_3,314,819,1,446299.6
22,drone_0,624,1022,1,446066.6
22,drone_1,985,823,1,446054.1
22,dog_0,961,441,1,445714.1
22,dog_1,649,270,1,446411.5
22,dog_2,322,449,1,446414.5
22,dog_3,315,818,1,446257.1
23,drone_0,623,1021,1,446024.1
23,drone_1,984,822,1,446011.7
23,dog_0,960,442,1,445650.4
23,dog_1,650,271,1,446390.2
23,dog_2,323,448,1,446372.1
23,dog_3,315,817,1,446227.1
24,drone_0,622,1020,1,445981.7
24,drone_1,983,823,1,445969.2
24,dog_0,959,443,1,445586.8
24,dog_1,651,272,1,446369.0
24,dog_2,323,447,1,446342.0
24,dog_3,316,816,1,446184.7
25,drone_0,621,1019,1,445939.2
25,drone_1,982,824,1,445926.8
25,dog_0,958,444,1,445523.1
25,dog_1,652,273,1,446347.8
25,dog_2,324,446,1,446320.8
25,dog_3,316,815,1,446154.7
26,drone_0,620,1018,1,445896.8
26,drone_1,981,823,1,445884.3
26,dog_0,957,445,1,445459.4
26,dog_1,651,274,1,446326.6
26,dog_2,325,445,1,446299.6
26,dog_3,316,814,1,446130.7
27,drone_0,619,1017,1,445854.3
27,drone_1,980,824,1,445841.9
27,dog_0,956,446,1,445395.7
27,dog_1,650,274,1,446311.6
27,dog_2,326,444,1,446278.4
27,dog_3,317,813,1,446088.2
28,drone_0,618,1016,1,445811.9
28,drone_1,979,825,1,445799.4
28,dog_0,955,447,1,445332.1
28,dog_1,649,274,1,446296.6
28,dog_2,327,443,1,446257.1
28,dog_3,317,812,1,446064.2
29,drone_0,617,1015,1,445769.4
29,drone_1,978,824,1,445757.0
29,dog_0,954,448,1,445268.4
29,dog_1,648,274,1,446281.5
29,dog_2,328,442,1,446214.7
29,dog_3,318,811,1,446021.7
30,drone_0,618,1014,1,445727.0
30,drone_1,977,823,1,445714.5
30,dog_0,953,449,1,445204.7
30,dog_1,647,273,1,446260.3
30,dog_2,329,441,1,446193.5
30,dog_3,318,810,1,445997.7
31,drone_0,617,1013,1,445684.5
31,drone_1,976,822,1,445672.1
31,dog_0,952,450,1,445141.1
31,dog_1,648,273,1,446245.3
31,dog_2,330,441,1,446163.5
