tick,agent_id,row,col,active,budget
1,drone_0,330,513,1,117582.0
1,drone_1,503,385,1,117569.6
1,drone_2,437,183,1,117569.6
1,drone_3,223,183,1,117569.6
1,drone_4,157,385,1,117569.6
2,drone_0,331,512,1,117539.6
2,drone_1,502,384,1,117527.1
2,drone_2,438,184,1,117527.1
2,drone_3,222,184,1,117527.1
2,drone_4,158,384,1,117527.1
3,drone_0,332,511,1,117497.1
3,drone_1,501,383,1,117484.7
3,drone_2,437,185,1,117484.7
3,drone_3,223,185,1,117484.7
3,drone_4,159,383,1,117484.7
4,drone_0,333,510,1,117454.7
4,drone_1,500,382,1,117442.3
4,drone_2,438,186,1,117442.3
4,drone_3,222,186,1,117442.3
4,drone_4,158,382,1,117442.3
5,drone_0,334,509,1,117412.3
5,drone_1,499,383,1,117399.9
5,drone_2,439,187,1,117399.9
5,drone_3,223,187,1,117399.9
5,drone_4,159,381,1,117399.9
6,drone_0,333,508,1,117369.9
6,drone_1,498,382,1,117357.4
6,drone_2,438,188,1,117357.4
6,drone_3,224,188,1,117357.4
6,drone_4,160,380,1,117357.4
7,drone_0,332,507,1,117327.4
7,drone_1,497,381,1,117315.0
7,drone_2,439,189,1,117315.0
7,drone_3,225,189,1,117315.0
7,drone_4,161,379,1,117315.0
8,drone_0,331,506,1,117285.0
8,drone_1,496,382,1,117272.6
8,drone_2,440,190,1,117272.6
8,drone_3,226,190,1,117272.6
8,drone_4,162,378,1,117272.6
9,drone_0,330,505,1,117242.6
9,drone_1,495,381,1,117230.2
9,drone_2,439,191,1,117230.2
9,drone_3,227,191,1,117230.2
9,drone_4,161,377,1,117230.2
10,drone_0,329,504,1,117200.2
10,drone_1,494,382,1,117187.7
10,drone_2,438,192,1,117187.7
10,drone_3,228,192,1,117187.7
10,drone_4,162,376,1,117187.7
11,drone_0,328,503,1,117157.7
11,drone_1,493,383,1,117145.3
11,drone_2,437,193,1,117145.3
11,drone_3,229,193,1,117145.3
11,drone_4,163,375,1,117145.3
12,drone_0,327,502,1,117115.3
12,drone_1,492,384,1,117102.9
12,drone_2,438,194,1,117102.9
12,drone_3,230,194,1,117102.9
12,drone_4,164,374,1,117102.9
13,drone_0,326,501,1,117072.9
13,drone_1,491,385,1,117060.5
13,drone_2,437,195,1,117060.5
13,drone_3,229,195,1,117060.5
13,drone_4,165,373,1,117060.5
14,drone_0,325,500,1,117030.5
14,drone_1,490,386,1,117018.0
14,drone_2,438,196,1,117018.0
14,drone_3,228,196,1,117018.0
14,drone_4,166,372,1,117018.0
15,drone_0,326,499,1,116988.0
15,drone_1,489,387,1,116975.6
15,drone_2,439,195,1,116975.6
15,drone_3,229,197,1,116975.6
15,drone_4,167,371,1,116975.6
16,drone_0,327,498,1,116945.6
16,drone_1,488,386,1,116933.2
16,drone_2,440,196,1,116933.2
16,drone_3,230,198,1,116933.2
16,drone_4,168,370,1,116933.2
17,drone_0,328,497,1,116903.2
17,drone_1,487,387,1,116890.8
17,drone_2,441,197,1,116890.8
17,drone_3,229,199,1,116890.8
17,drone_4,169,369,1,116890.8
18,drone_0,329,496,1,116860.8
18,drone_1,486,386,1,116848.3
18,drone_2,442,198,1,116848.3
18,drone_3,230,200,1,116848.3
18,drone_4,170,368,1,116848.3
19,drone_0,330,497,1,116818.3
19,drone_1,485,385,1,116805.9
19,drone_2,441,199,1,116805.9
19,drone_3,229,201,1,116805.9
19,drone_4,171,367,1,116805.9
20,drone_0,331,496,1,116775.9
20,drone_1,484,384,1,116763.5
20,drone_2,442,200,1,116763.5
20,drone_3,228,202,1,116763.5
20,drone_4,172,366,1,116763.5
21,drone_0,332,495,1,116733.5
21,drone_1,483,383,1,116721.0
21,drone_2,443,199,1,116721.0
21,drone_3,229,203,1,116721.0
21,drone_4,173,365,1,116721.0
22,drone_0,333,494,1,116691.0
22,drone_1,482,382,1,116678.6
22,drone_2,444,198,1,116678.6
22,drone_3,230,204,1,116678.6
22,drone_4,174,364,1,116678.6
23,drone_0,334,493,1,116648.6
23,drone_1,481,381,1,116636.2
23,drone_2,445,199,1,116636.2
23,drone_3,229,205,1,116636.2
23,drone_4,175,365,1,116636.2
24,drone_0,335,492,1,116606.2
24,drone_1,480,380,1,116593.8
24,drone_2,446,200,1,116593.8
24,drone_3,230,206,1,116593.8
24,drone_4,176,364,1,116593.8
25,drone_0,334,491,1,116563.8
25,drone_1,479,379,1,116551.3
25,drone_2,445,201,1,116551.3
25,drone_3,229,207,1,116551.3
25,drone_4,177,363,1,116551.3
26,drone_0,333,490,1,116521.3
26,drone_1,478,378,1,116508.9
26,drone_2,446,202,1,116508.9
26,drone_3,230,207,1,116521.3
26,drone_4,178,362,1,116508.9
27,drone_0,332,491,1,116478.9
27,drone_1,477,377,1,116466.5
27,drone_2,445,203,1,116466.5
27,drone_3,231,208,1,116478.9
27,drone_4,179,361,1,116466.5
28,drone_0,331,490,1,116436.5
28,drone_1,476,378,1,116424.1
28,drone_2,446,204,1,116424.1
28,drone_3,232,209,1,116436.5
28,drone_4,178,360,1,116424.1
29,drone_0,330,491,1,116394.1
29,drone_1,475,377,1,116381.6
29,drone_2,445,205,1,116381.6
29,drone_3,233,210,1,116394.1
29,drone_4,177,359,1,116381.6
30,drone_0,329,490,1,116351.6
30,drone_1,474,376,1,116339.2
30,drone_2,446,206,1,116339.2
30,drone_3,234,211,1,116351.6
30,drone_4,178,358,1,116339.2
31,drone_0,328,491,1,116309.2
31,drone_1,473,375,1,116296.8
31,drone_2,445,207,1,116296.8
31,drone_3,235,210,1,116309.2
31,drone_4,179,357,1,116296.8
32,drone_0,327,490,1,116266.8
32,drone_1,472,374,1,116254.4
32,drone_2,446,208,1,116254.4
32,drone_3,236,211,1,116266.8
32,drone_4,180,356,1,116254.4
33,drone_0,326,491,1,116224.4
33,drone_1,471,373,1,116211.9
